"Pack_ID","Deer_2015","Deer_2016","Deer_2017","Deer_2018","Deer_2019","Deer_2020","Deer_2021","Deer_2022","Deer_2023","Deer_2024","Deer_2025","Deer_2026","Deer_2027","Deer_2028","Deer_2029","Deer_2030","Deer_2031","Deer_2032","Deer_2033","Deer_2034","Deer_2035","Deer_2036","Deer_2037","Deer_2038","Deer_2039","Deer_2040","Deer_2041","Deer_2042","Deer_2043","Deer_2044","Deer_2045"
1,3260,3242.1,3224.2,3206.3,3188.4,3170.5,3152.6,3134.7,3116.8,3098.9,3081,3068.9,3056.8,3044.7,3032.6,3020.5,3008.4,2996.3,2984.2,2972.1,2960,2959.7,2959.4,2959.1,2958.8,2958.5,2958.2,2957.9,2957.6,2957.3,2957
2,1090,1089.5,1089,1088.5,1088,1087.5,1087,1086.5,1086,1085.5,1085,1078.7,1072.4,1066.1,1059.8,1053.5,1047.2,1040.9,1034.6,1028.3,1022,1022,1022,1022,1022,1022,1022,1022,1022,1022,1022
3,4474,4473.9,4473.8,4473.7,4473.6,4473.5,4473.4,4473.3,4473.2,4473.1,4473,4473,4473,4473,4473,4473,4473,4473,4473,4473,4473,4473,4473,4473,4473,4473,4473,4473,4473,4473,4473
4,1678,1677.6,1677.2,1676.8,1676.4,1676,1675.6,1675.2,1674.8,1674.4,1674,1671.5,1669,1666.5,1664,1661.5,1659,1656.5,1654,1651.5,1649,1649,1649,1649,1649,1649,1649,1649,1649,1649,1649
5,3707,3699.7,3692.4,3685.1,3677.8,3670.5,3663.2,3655.9,3648.6,3641.3,3634,3594.7,3555.4,3516.1,3476.8,3437.5,3398.2,3358.9,3319.6,3280.3,3241,3235.2,3229.4,3223.6,3217.8,3212,3206.2,3200.4,3194.6,3188.8,3183
6,2836,2827.8,2819.6,2811.4,2803.2,2795,2786.8,2778.6,2770.4,2762.2,2754,2741.7,2729.4,2717.1,2704.8,2692.5,2680.2,2667.9,2655.6,2643.3,2631,2627.8,2624.6,2621.4,2618.2,2615,2611.8,2608.6,2605.4,2602.2,2599
7,2064,2059.2,2054.4,2049.6,2044.8,2040,2035.2,2030.4,2025.6,2020.8,2016,2013.9,2011.8,2009.7,2007.6,2005.5,2003.4,2001.3,1999.2,1997.1,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995
8,1338,1329.5,1321,1312.5,1304,1295.5,1287,1278.5,1270,1261.5,1253,1248.9,1244.8,1240.7,1236.6,1232.5,1228.4,1224.3,1220.2,1216.1,1212,1211.3,1210.6,1209.9,1209.2,1208.5,1207.8,1207.1,1206.4,1205.7,1205
9,3151,3150.1,3149.2,3148.3,3147.4,3146.5,3145.6,3144.7,3143.8,3142.9,3142,3117.4,3092.8,3068.2,3043.6,3019,2994.4,2969.8,2945.2,2920.6,2896,2896,2896,2896,2896,2896,2896,2896,2896,2896,2896
10,3076,3069.2,3062.4,3055.6,3048.8,3042,3035.2,3028.4,3021.6,3014.8,3008,3006.8,3005.6,3004.4,3003.2,3002,3000.8,2999.6,2998.4,2997.2,2996,2988.2,2980.4,2972.6,2964.8,2957,2949.2,2941.4,2933.6,2925.8,2918
11,2945,2945,2945,2945,2945,2945,2945,2945,2945,2945,2945,2945,2945,2945,2945,2945,2945,2945,2945,2945,2945,2945,2945,2945,2945,2945,2945,2945,2945,2945,2945
12,3167,3167,3167,3167,3167,3167,3167,3167,3167,3167,3167,3167,3167,3167,3167,3167,3167,3167,3167,3167,3167,3167,3167,3167,3167,3167,3167,3167,3167,3167,3167
13,2525,2524.9,2524.8,2524.7,2524.6,2524.5,2524.4,2524.3,2524.2,2524.1,2524,2524,2524,2524,2524,2524,2524,2524,2524,2524,2524,2524,2524,2524,2524,2524,2524,2524,2524,2524,2524
14,1917,1908.1,1899.2,1890.3,1881.4,1872.5,1863.6,1854.7,1845.8,1836.9,1828,1824.3,1820.6,1816.9,1813.2,1809.5,1805.8,1802.1,1798.4,1794.7,1791,1791,1791,1791,1791,1791,1791,1791,1791,1791,1791
15,1914,1911.5,1909,1906.5,1904,1901.5,1899,1896.5,1894,1891.5,1889,1887.5,1886,1884.5,1883,1881.5,1880,1878.5,1877,1875.5,1874,1871.8,1869.6,1867.4,1865.2,1863,1860.8,1858.6,1856.4,1854.2,1852
16,2019,2004.6,1990.2,1975.8,1961.4,1947,1932.6,1918.2,1903.8,1889.4,1875,1872.2,1869.4,1866.6,1863.8,1861,1858.2,1855.4,1852.6,1849.8,1847,1846.8,1846.6,1846.4,1846.2,1846,1845.8,1845.6,1845.4,1845.2,1845
17,1121,1119.9,1118.8,1117.7,1116.6,1115.5,1114.4,1113.3,1112.2,1111.1,1110,1108.1,1106.2,1104.3,1102.4,1100.5,1098.6,1096.7,1094.8,1092.9,1091,1091,1091,1091,1091,1091,1091,1091,1091,1091,1091
18,1573,1508.3,1443.6,1378.9,1314.2,1249.5,1184.8,1120.1,1055.4,990.7,926,917.8,909.6,901.4,893.2,885,876.8,868.6,860.4,852.2,844,843.3,842.6,841.9,841.2,840.5,839.8,839.1,838.4,837.7,837
19,2859,2852.9,2846.8,2840.7,2834.6,2828.5,2822.4,2816.3,2810.2,2804.1,2798,2787.2,2776.4,2765.6,2754.8,2744,2733.2,2722.4,2711.6,2700.8,2690,2689.7,2689.4,2689.1,2688.8,2688.5,2688.2,2687.9,2687.6,2687.3,2687
20,1895,1881.1,1867.2,1853.3,1839.4,1825.5,1811.6,1797.7,1783.8,1769.9,1756,1753.2,1750.4,1747.6,1744.8,1742,1739.2,1736.4,1733.6,1730.8,1728,1728,1728,1728,1728,1728,1728,1728,1728,1728,1728
21,1287,1261.6,1236.2,1210.8,1185.4,1160,1134.6,1109.2,1083.8,1058.4,1033,1032.9,1032.8,1032.7,1032.6,1032.5,1032.4,1032.3,1032.2,1032.1,1032,1032,1032,1032,1032,1032,1032,1032,1032,1032,1032
22,1233,1215.4,1197.8,1180.2,1162.6,1145,1127.4,1109.8,1092.2,1074.6,1057,1054.1,1051.2,1048.3,1045.4,1042.5,1039.6,1036.7,1033.8,1030.9,1028,1027.1,1026.2,1025.3,1024.4,1023.5,1022.6,1021.7,1020.8,1019.9,1019
23,2997,2989.5,2982,2974.5,2967,2959.5,2952,2944.5,2937,2929.5,2922,2921.7,2921.4,2921.1,2920.8,2920.5,2920.2,2919.9,2919.6,2919.3,2919,2918.2,2917.4,2916.6,2915.8,2915,2914.2,2913.4,2912.6,2911.8,2911
24,1478,1475.3,1472.6,1469.9,1467.2,1464.5,1461.8,1459.1,1456.4,1453.7,1451,1450.5,1450,1449.5,1449,1448.5,1448,1447.5,1447,1446.5,1446,1443,1440,1437,1434,1431,1428,1425,1422,1419,1416
25,3169,3150.9,3132.8,3114.7,3096.6,3078.5,3060.4,3042.3,3024.2,3006.1,2988,2980.6,2973.2,2965.8,2958.4,2951,2943.6,2936.2,2928.8,2921.4,2914,2913.6,2913.2,2912.8,2912.4,2912,2911.6,2911.2,2910.8,2910.4,2910
26,2552,2543.8,2535.6,2527.4,2519.2,2511,2502.8,2494.6,2486.4,2478.2,2470,2469.7,2469.4,2469.1,2468.8,2468.5,2468.2,2467.9,2467.6,2467.3,2467,2467,2467,2467,2467,2467,2467,2467,2467,2467,2467
27,2146,2144,2142,2140,2138,2136,2134,2132,2130,2128,2126,2125.5,2125,2124.5,2124,2123.5,2123,2122.5,2122,2121.5,2121,2120.9,2120.8,2120.7,2120.6,2120.5,2120.4,2120.3,2120.2,2120.1,2120
28,2812,2811.4,2810.8,2810.2,2809.6,2809,2808.4,2807.8,2807.2,2806.6,2806,2805.9,2805.8,2805.7,2805.6,2805.5,2805.4,2805.3,2805.2,2805.1,2805,2804.9,2804.8,2804.7,2804.6,2804.5,2804.4,2804.3,2804.2,2804.1,2804
29,4040,4034.1,4028.2,4022.3,4016.4,4010.5,4004.6,3998.7,3992.8,3986.9,3981,3981,3981,3981,3981,3981,3981,3981,3981,3981,3981,3981,3981,3981,3981,3981,3981,3981,3981,3981,3981
30,2019,2016,2013,2010,2007,2004,2001,1998,1995,1992,1989,1988.7,1988.4,1988.1,1987.8,1987.5,1987.2,1986.9,1986.6,1986.3,1986,1986,1986,1986,1986,1986,1986,1986,1986,1986,1986
31,1078,1076.3,1074.6,1072.9,1071.2,1069.5,1067.8,1066.1,1064.4,1062.7,1061,1060.9,1060.8,1060.7,1060.6,1060.5,1060.4,1060.3,1060.2,1060.1,1060,1060,1060,1060,1060,1060,1060,1060,1060,1060,1060
