"Pack_ID","Deer_2015","Deer_2016","Deer_2017","Deer_2018","Deer_2019","Deer_2020","Deer_2021","Deer_2022","Deer_2023","Deer_2024","Deer_2025","Deer_2026","Deer_2027","Deer_2028","Deer_2029","Deer_2030","Deer_2031","Deer_2032","Deer_2033","Deer_2034","Deer_2035","Deer_2036","Deer_2037","Deer_2038","Deer_2039","Deer_2040","Deer_2041","Deer_2042","Deer_2043","Deer_2044","Deer_2045"
1,3260,3242,3224,3206,3188,3170,3152,3134,3116,3098,3080,3068,3056,3044,3032,3020,3008,2996,2984,2972,2960,2955.9,2951.8,2947.7,2943.6,2939.5,2935.4,2931.3,2927.2,2923.1,2919
2,1090,1089.4,1088.8,1088.2,1087.6,1087,1086.4,1085.8,1085.2,1084.6,1084,1080.5,1077,1073.5,1070,1066.5,1063,1059.5,1056,1052.5,1049,1047.2,1045.4,1043.6,1041.8,1040,1038.2,1036.4,1034.6,1032.8,1031
3,4474,4473.8,4473.6,4473.4,4473.2,4473,4472.8,4472.6,4472.4,4472.2,4472,4472,4472,4472,4472,4472,4472,4472,4472,4472,4472,4472,4472,4472,4472,4472,4472,4472,4472,4472,4472
4,1678,1677.5,1677,1676.5,1676,1675.5,1675,1674.5,1674,1673.5,1673,1670.5,1668,1665.5,1663,1660.5,1658,1655.5,1653,1650.5,1648,1645.3,1642.6,1639.9,1637.2,1634.5,1631.8,1629.1,1626.4,1623.7,1621
5,3707,3699.6,3692.2,3684.8,3677.4,3670,3662.6,3655.2,3647.8,3640.4,3633,3593.6,3554.2,3514.8,3475.4,3436,3396.6,3357.2,3317.8,3278.4,3239,3228.8,3218.6,3208.4,3198.2,3188,3177.8,3167.6,3157.4,3147.2,3137
6,2836,2827.7,2819.4,2811.1,2802.8,2794.5,2786.2,2777.9,2769.6,2761.3,2753,2740.6,2728.2,2715.8,2703.4,2691,2678.6,2666.2,2653.8,2641.4,2629,2624.7,2620.4,2616.1,2611.8,2607.5,2603.2,2598.9,2594.6,2590.3,2586
7,2064,2063.3,2062.6,2061.9,2061.2,2060.5,2059.8,2059.1,2058.4,2057.7,2057,2054.9,2052.8,2050.7,2048.6,2046.5,2044.4,2042.3,2040.2,2038.1,2036,2030.3,2024.6,2018.9,2013.2,2007.5,2001.8,1996.1,1990.4,1984.7,1979
8,1338,1329.3,1320.6,1311.9,1303.2,1294.5,1285.8,1277.1,1268.4,1259.7,1251,1244.7,1238.4,1232.1,1225.8,1219.5,1213.2,1206.9,1200.6,1194.3,1188,1187,1186,1185,1184,1183,1182,1181,1180,1179,1178
9,3151,3149.7,3148.4,3147.1,3145.8,3144.5,3143.2,3141.9,3140.6,3139.3,3138,3112.4,3086.8,3061.2,3035.6,3010,2984.4,2958.8,2933.2,2907.6,2882,2882,2882,2882,2882,2882,2882,2882,2882,2882,2882
10,3076,3068.7,3061.4,3054.1,3046.8,3039.5,3032.2,3024.9,3017.6,3010.3,3003,2994.5,2986,2977.5,2969,2960.5,2952,2943.5,2935,2926.5,2918,2891.1,2864.2,2837.3,2810.4,2783.5,2756.6,2729.7,2702.8,2675.9,2649
11,2945,2944.5,2944,2943.5,2943,2942.5,2942,2941.5,2941,2940.5,2940,2940,2940,2940,2940,2940,2940,2940,2940,2940,2940,2940,2940,2940,2940,2940,2940,2940,2940,2940,2940
12,3167,3166.8,3166.6,3166.4,3166.2,3166,3165.8,3165.6,3165.4,3165.2,3165,3165,3165,3165,3165,3165,3165,3165,3165,3165,3165,3165,3165,3165,3165,3165,3165,3165,3165,3165,3165
13,2525,2524.8,2524.6,2524.4,2524.2,2524,2523.8,2523.6,2523.4,2523.2,2523,2523,2523,2523,2523,2523,2523,2523,2523,2523,2523,2522.8,2522.6,2522.4,2522.2,2522,2521.8,2521.6,2521.4,2521.2,2521
