"Pack_ID","Deer_2015","Deer_2016","Deer_2017","Deer_2018","Deer_2019","Deer_2020","Deer_2021","Deer_2022","Deer_2023","Deer_2024","Deer_2025","Deer_2026","Deer_2027","Deer_2028","Deer_2029","Deer_2030","Deer_2031","Deer_2032","Deer_2033","Deer_2034","Deer_2035","Deer_2036","Deer_2037","Deer_2038","Deer_2039","Deer_2040","Deer_2041","Deer_2042","Deer_2043","Deer_2044","Deer_2045"
1,3260,3242,3224,3206,3188,3170,3152,3134,3116,3098,3080,3064.3,3048.6,3032.9,3017.2,3001.5,2985.8,2970.1,2954.4,2938.7,2923,2917.2,2911.4,2905.6,2899.8,2894,2888.2,2882.4,2876.6,2870.8,2865
2,1090,1089.4,1088.8,1088.2,1087.6,1087,1086.4,1085.8,1085.2,1084.6,1084,1075.8,1067.6,1059.4,1051.2,1043,1034.8,1026.6,1018.4,1010.2,1002,1000.4,998.8,997.2,995.6,994,992.4,990.8,989.2,987.6,986
3,4474,4473.8,4473.6,4473.4,4473.2,4473,4472.8,4472.6,4472.4,4472.2,4472,4472,4472,4472,4472,4472,4472,4472,4472,4472,4472,4472,4472,4472,4472,4472,4472,4472,4472,4472,4472
4,1678,1677.5,1677,1676.5,1676,1675.5,1675,1674.5,1674,1673.5,1673,1667.8,1662.6,1657.4,1652.2,1647,1641.8,1636.6,1631.4,1626.2,1621,1621,1621,1621,1621,1621,1621,1621,1621,1621,1621
5,3707,3699.6,3692.2,3684.8,3677.4,3670,3662.6,3655.2,3647.8,3640.4,3633,3589.2,3545.4,3501.6,3457.8,3414,3370.2,3326.4,3282.6,3238.8,3195,3189.2,3183.4,3177.6,3171.8,3166,3160.2,3154.4,3148.6,3142.8,3137
6,2836,2827.6,2819.2,2810.8,2802.4,2794,2785.6,2777.2,2768.8,2760.4,2752,2738.6,2725.2,2711.8,2698.4,2685,2671.6,2658.2,2644.8,2631.4,2618,2614.1,2610.2,2606.3,2602.4,2598.5,2594.6,2590.7,2586.8,2582.9,2579
7,2064,2059,2054,2049,2044,2039,2034,2029,2024,2019,2014,1992.3,1970.6,1948.9,1927.2,1905.5,1883.8,1862.1,1840.4,1818.7,1797,1790.3,1783.6,1776.9,1770.2,1763.5,1756.8,1750.1,1743.4,1736.7,1730
8,1338,1326.2,1314.4,1302.6,1290.8,1279,1267.2,1255.4,1243.6,1231.8,1220,1215.6,1211.2,1206.8,1202.4,1198,1193.6,1189.2,1184.8,1180.4,1176,1169.6,1163.2,1156.8,1150.4,1144,1137.6,1131.2,1124.8,1118.4,1112
9,3151,3148.8,3146.6,3144.4,3142.2,3140,3137.8,3135.6,3133.4,3131.2,3129,3104.3,3079.6,3054.9,3030.2,3005.5,2980.8,2956.1,2931.4,2906.7,2882,2880.7,2879.4,2878.1,2876.8,2875.5,2874.2,2872.9,2871.6,2870.3,2869
10,3076,3042.3,3008.6,2974.9,2941.2,2907.5,2873.8,2840.1,2806.4,2772.7,2739,2737.8,2736.6,2735.4,2734.2,2733,2731.8,2730.6,2729.4,2728.2,2727,2689,2651,2613,2575,2537,2499,2461,2423,2385,2347
