"Pack_ID","Deer_2015","Deer_2016","Deer_2017","Deer_2018","Deer_2019","Deer_2020","Deer_2021","Deer_2022","Deer_2023","Deer_2024","Deer_2025","Deer_2026","Deer_2027","Deer_2028","Deer_2029","Deer_2030","Deer_2031","Deer_2032","Deer_2033","Deer_2034","Deer_2035","Deer_2036","Deer_2037","Deer_2038","Deer_2039","Deer_2040","Deer_2041","Deer_2042","Deer_2043","Deer_2044","Deer_2045"
1,3260,3238.3,3216.6,3194.9,3173.2,3151.5,3129.8,3108.1,3086.4,3064.7,3043,3031,3019,3007,2995,2983,2971,2959,2947,2935,2923,2909.4,2895.8,2882.2,2868.6,2855,2841.4,2827.8,2814.2,2800.6,2787
2,1090,1087.5,1085,1082.5,1080,1077.5,1075,1072.5,1070,1067.5,1065,1058.7,1052.4,1046.1,1039.8,1033.5,1027.2,1020.9,1014.6,1008.3,1002,996.9,991.8,986.7,981.6,976.5,971.4,966.3,961.2,956.1,951
3,4474,4473.8,4473.6,4473.4,4473.2,4473,4472.8,4472.6,4472.4,4472.2,4472,4472,4472,4472,4472,4472,4472,4472,4472,4472,4472,4471.5,4471,4470.5,4470,4469.5,4469,4468.5,4468,4467.5,4467
4,1678,1674.8,1671.6,1668.4,1665.2,1662,1658.8,1655.6,1652.4,1649.2,1646,1643.5,1641,1638.5,1636,1633.5,1631,1628.5,1626,1623.5,1621,1613.3,1605.6,1597.9,1590.2,1582.5,1574.8,1567.1,1559.4,1551.7,1544
5,3707,3695.2,3683.4,3671.6,3659.8,3648,3636.2,3624.4,3612.6,3600.8,3589,3549.6,3510.2,3470.8,3431.4,3392,3352.6,3313.2,3273.8,3234.4,3195,3182.6,3170.2,3157.8,3145.4,3133,3120.6,3108.2,3095.8,3083.4,3071
6,2836,2826.4,2816.8,2807.2,2797.6,2788,2778.4,2768.8,2759.2,2749.6,2740,2727.8,2715.6,2703.4,2691.2,2679,2666.8,2654.6,2642.4,2630.2,2618,2612.3,2606.6,2600.9,2595.2,2589.5,2583.8,2578.1,2572.4,2566.7,2561
7,2064,2039.4,2014.8,1990.2,1965.6,1941,1916.4,1891.8,1867.2,1842.6,1818,1815.9,1813.8,1811.7,1809.6,1807.5,1805.4,1803.3,1801.2,1799.1,1797,1758.1,1719.2,1680.3,1641.4,1602.5,1563.6,1524.7,1485.8,1446.9,1408
8,1338,1326.2,1314.4,1302.6,1290.8,1279,1267.2,1255.4,1243.6,1231.8,1220,1215.9,1211.8,1207.7,1203.6,1199.5,1195.4,1191.3,1187.2,1183.1,1179,1172.1,1165.2,1158.3,1151.4,1144.5,1137.6,1130.7,1123.8,1116.9,1110
9,3151,3148.8,3146.6,3144.4,3142.2,3140,3137.8,3135.6,3133.4,3131.2,3129,3104.3,3079.6,3054.9,3030.2,3005.5,2980.8,2956.1,2931.4,2906.7,2882,2879.1,2876.2,2873.3,2870.4,2867.5,2864.6,2861.7,2858.8,2855.9,2853
10,3076,3042.3,3008.6,2974.9,2941.2,2907.5,2873.8,2840.1,2806.4,2772.7,2739,2737.9,2736.8,2735.7,2734.6,2733.5,2732.4,2731.3,2730.2,2729.1,2728,2687.7,2647.4,2607.1,2566.8,2526.5,2486.2,2445.9,2405.6,2365.3,2325
11,2945,2944.5,2944,2943.5,2943,2942.5,2942,2941.5,2941,2940.5,2940,2940,2940,2940,2940,2940,2940,2940,2940,2940,2940,2940,2940,2940,2940,2940,2940,2940,2940,2940,2940
12,3167,3166.8,3166.6,3166.4,3166.2,3166,3165.8,3165.6,3165.4,3165.2,3165,3165,3165,3165,3165,3165,3165,3165,3165,3165,3165,3161.9,3158.8,3155.7,3152.6,3149.5,3146.4,3143.3,3140.2,3137.1,3134
13,2525,2524.6,2524.2,2523.8,2523.4,2523,2522.6,2522.2,2521.8,2521.4,2521,2521,2521,2521,2521,2521,2521,2521,2521,2521,2521,2516.1,2511.2,2506.3,2501.4,2496.5,2491.6,2486.7,2481.8,2476.9,2472
14,1917,1905.1,1893.2,1881.3,1869.4,1857.5,1845.6,1833.7,1821.8,1809.9,1798,1794.4,1790.8,1787.2,1783.6,1780,1776.4,1772.8,1769.2,1765.6,1762,1750,1738,1726,1714,1702,1690,1678,1666,1654,1642
15,1914,1909.1,1904.2,1899.3,1894.4,1889.5,1884.6,1879.7,1874.8,1869.9,1865,1863.5,1862,1860.5,1859,1857.5,1856,1854.5,1853,1851.5,1850,1838.5,1827,1815.5,1804,1792.5,1781,1769.5,1758,1746.5,1735
16,2019,1969.4,1919.8,1870.2,1820.6,1771,1721.4,1671.8,1622.2,1572.6,1523,1507.6,1492.2,1476.8,1461.4,1446,1430.6,1415.2,1399.8,1384.4,1369,1356.6,1344.2,1331.8,1319.4,1307,1294.6,1282.2,1269.8,1257.4,1245
17,1121,1103.6,1086.2,1068.8,1051.4,1034,1016.6,999.2,981.8,964.4,947,945.2,943.4,941.6,939.8,938,936.2,934.4,932.6,930.8,929,922.4,915.8,909.2,902.6,896,889.4,882.8,876.2,869.6,863
18,1573,1504.8,1436.6,1368.4,1300.2,1232,1163.8,1095.6,1027.4,959.2,891,882.8,874.6,866.4,858.2,850,841.8,833.6,825.4,817.2,809,801.3,793.6,785.9,778.2,770.5,762.8,755.1,747.4,739.7,732
19,2859,2841.3,2823.6,2805.9,2788.2,2770.5,2752.8,2735.1,2717.4,2699.7,2682,2664.1,2646.2,2628.3,2610.4,2592.5,2574.6,2556.7,2538.8,2520.9,2503,2494.4,2485.8,2477.2,2468.6,2460,2451.4,2442.8,2434.2,2425.6,2417
20,1895,1857.1,1819.2,1781.3,1743.4,1705.5,1667.6,1629.7,1591.8,1553.9,1516,1513.2,1510.4,1507.6,1504.8,1502,1499.2,1496.4,1493.6,1490.8,1488,1456,1424,1392,1360,1328,1296,1264,1232,1200,1168
21,1287,1253,1219,1185,1151,1117,1083,1049,1015,981,947,946.9,946.8,946.7,946.6,946.5,946.4,946.3,946.2,946.1,946,932.1,918.2,904.3,890.4,876.5,862.6,848.7,834.8,820.9,807
22,1233,1200,1167,1134,1101,1068,1035,1002,969,936,903,900,897,894,891,888,885,882,879,876,873,856.7,840.4,824.1,807.8,791.5,775.2,758.9,742.6,726.3,710
23,2997,2975.7,2954.4,2933.1,2911.8,2890.5,2869.2,2847.9,2826.6,2805.3,2784,2771.6,2759.2,2746.8,2734.4,2722,2709.6,2697.2,2684.8,2672.4,2660,2653.5,2647,2640.5,2634,2627.5,2621,2614.5,2608,2601.5,2595
24,1478,1456.1,1434.2,1412.3,1390.4,1368.5,1346.6,1324.7,1302.8,1280.9,1259,1258.6,1258.2,1257.8,1257.4,1257,1256.6,1256.2,1255.8,1255.4,1255,1244,1233,1222,1211,1200,1189,1178,1167,1156,1145
25,3169,3103.5,3038,2972.5,2907,2841.5,2776,2710.5,2645,2579.5,2514,2492.8,2471.6,2450.4,2429.2,2408,2386.8,2365.6,2344.4,2323.2,2302,2231.3,2160.6,2089.9,2019.2,1948.5,1877.8,1807.1,1736.4,1665.7,1595
26,2552,2543.2,2534.4,2525.6,2516.8,2508,2499.2,2490.4,2481.6,2472.8,2464,2451.5,2439,2426.5,2414,2401.5,2389,2376.5,2364,2351.5,2339,2338.6,2338.2,2337.8,2337.4,2337,2336.6,2336.2,2335.8,2335.4,2335
27,2146,2125.4,2104.8,2084.2,2063.6,2043,2022.4,2001.8,1981.2,1960.6,1940,1937.3,1934.6,1931.9,1929.2,1926.5,1923.8,1921.1,1918.4,1915.7,1913,1903.6,1894.2,1884.8,1875.4,1866,1856.6,1847.2,1837.8,1828.4,1819
28,2812,2790,2768,2746,2724,2702,2680,2658,2636,2614,2592,2591.9,2591.8,2591.7,2591.6,2591.5,2591.4,2591.3,2591.2,2591.1,2591,2552.8,2514.6,2476.4,2438.2,2400,2361.8,2323.6,2285.4,2247.2,2209
29,4040,4016.5,3993,3969.5,3946,3922.5,3899,3875.5,3852,3828.5,3805,3797.5,3790,3782.5,3775,3767.5,3760,3752.5,3745,3737.5,3730,3701.3,3672.6,3643.9,3615.2,3586.5,3557.8,3529.1,3500.4,3471.7,3443
30,2019,1990.7,1962.4,1934.1,1905.8,1877.5,1849.2,1820.9,1792.6,1764.3,1736,1735.6,1735.2,1734.8,1734.4,1734,1733.6,1733.2,1732.8,1732.4,1732,1718.9,1705.8,1692.7,1679.6,1666.5,1653.4,1640.3,1627.2,1614.1,1601
31,1078,1072,1066,1060,1054,1048,1042,1036,1030,1024,1018,1014,1010,1006,1002,998,994,990,986,982,978,973.4,968.8,964.2,959.6,955,950.4,945.8,941.2,936.6,932
