"Pack_ID","Road_2015","Road_2016","Road_2017","Road_2018","Road_2019","Road_2020","Road_2021","Road_2022","Road_2023","Road_2024","Road_2025","Road_2026","Road_2027","Road_2028","Road_2029","Road_2030","Road_2031","Road_2032","Road_2033","Road_2034","Road_2035","Road_2036","Road_2037","Road_2038","Road_2039","Road_2040","Road_2041","Road_2042","Road_2043","Road_2044","Road_2045"
1,88.03,87.836,87.642,87.448,87.254,87.06,86.866,86.672,86.478,86.284,86.09,86.09,86.09,86.09,86.09,86.09,86.09,86.09,86.09,86.09,86.09,86.09,86.09,86.09,86.09,86.09,86.09,86.09,86.09,86.09,86.09
2,116.7,116.444,116.188,115.932,115.676,115.42,115.164,114.908,114.652,114.396,114.14,114.14,114.14,114.14,114.14,114.14,114.14,114.14,114.14,114.14,114.14,114.14,114.14,114.14,114.14,114.14,114.14,114.14,114.14,114.14,114.14
3,8.56,8.541,8.522,8.503,8.484,8.465,8.446,8.427,8.408,8.389,8.37,8.37,8.37,8.37,8.37,8.37,8.37,8.37,8.37,8.37,8.37,8.37,8.37,8.37,8.37,8.37,8.37,8.37,8.37,8.37,8.37
4,46.75,46.647,46.544,46.441,46.338,46.235,46.132,46.029,45.926,45.823,45.72,45.72,45.72,45.72,45.72,45.72,45.72,45.72,45.72,45.72,45.72,45.72,45.72,45.72,45.72,45.72,45.72,45.72,45.72,45.72,45.72
5,30.81,30.743,30.676,30.609,30.542,30.475,30.408,30.341,30.274,30.207,30.14,30.14,30.14,30.14,30.14,30.14,30.14,30.14,30.14,30.14,30.14,30.14,30.14,30.14,30.14,30.14,30.14,30.14,30.14,30.14,30.14
6,238.33,237.805,237.28,236.755,236.23,235.705,235.18,234.655,234.13,233.605,233.08,233.08,233.08,233.08,233.08,233.08,233.08,233.08,233.08,233.08,233.08,233.08,233.08,233.08,233.08,233.08,233.08,233.08,233.08,233.08,233.08
7,252.69,252.134,251.578,251.022,250.466,249.91,249.354,248.798,248.242,247.686,247.13,247.13,247.13,247.13,247.13,247.13,247.13,247.13,247.13,247.13,247.13,247.13,247.13,247.13,247.13,247.13,247.13,247.13,247.13,247.13,247.13
8,248.9,248.352,247.804,247.256,246.708,246.16,245.612,245.064,244.516,243.968,243.42,243.42,243.42,243.42,243.42,243.42,243.42,243.42,243.42,243.42,243.42,243.42,243.42,243.42,243.42,243.42,243.42,243.42,243.42,243.42,243.42
9,24.61,24.556,24.502,24.448,24.394,24.34,24.286,24.232,24.178,24.124,24.07,24.07,24.07,24.07,24.07,24.07,24.07,24.07,24.07,24.07,24.07,24.07,24.07,24.07,24.07,24.07,24.07,24.07,24.07,24.07,24.07
10,67.71,67.561,67.412,67.263,67.114,66.965,66.816,66.667,66.518,66.369,66.22,66.22,66.22,66.22,66.22,66.22,66.22,66.22,66.22,66.22,66.22,66.22,66.22,66.22,66.22,66.22,66.22,66.22,66.22,66.22,66.22
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,5.19,5.179,5.168,5.157,5.146,5.135,5.124,5.113,5.102,5.091,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08
13,17.44,17.402,17.364,17.326,17.288,17.25,17.212,17.174,17.136,17.098,17.06,17.06,17.06,17.06,17.06,17.06,17.06,17.06,17.06,17.06,17.06,17.06,17.06,17.06,17.06,17.06,17.06,17.06,17.06,17.06,17.06
14,271.6,271.002,270.404,269.806,269.208,268.61,268.012,267.414,266.816,266.218,265.62,265.62,265.62,265.62,265.62,265.62,265.62,265.62,265.62,265.62,265.62,265.62,265.62,265.62,265.62,265.62,265.62,265.62,265.62,265.62,265.62
15,23.19,23.139,23.088,23.037,22.986,22.935,22.884,22.833,22.782,22.731,22.68,22.68,22.68,22.68,22.68,22.68,22.68,22.68,22.68,22.68,22.68,22.68,22.68,22.68,22.68,22.68,22.68,22.68,22.68,22.68,22.68
16,346.98,346.217,345.454,344.691,343.928,343.165,342.402,341.639,340.876,340.113,339.35,339.35,339.35,339.35,339.35,339.35,339.35,339.35,339.35,339.35,339.35,339.35,339.35,339.35,339.35,339.35,339.35,339.35,339.35,339.35,339.35
17,227.25,226.75,226.25,225.75,225.25,224.75,224.25,223.75,223.25,222.75,222.25,222.25,222.25,222.25,222.25,222.25,222.25,222.25,222.25,222.25,222.25,222.25,222.25,222.25,222.25,222.25,222.25,222.25,222.25,222.25,222.25
18,227.37,226.87,226.37,225.87,225.37,224.87,224.37,223.87,223.37,222.87,222.37,222.37,222.37,222.37,222.37,222.37,222.37,222.37,222.37,222.37,222.37,222.37,222.37,222.37,222.37,222.37,222.37,222.37,222.37,222.37,222.37
19,296.62,295.968,295.316,294.664,294.012,293.36,292.708,292.056,291.404,290.752,290.1,290.1,290.1,290.1,290.1,290.1,290.1,290.1,290.1,290.1,290.1,290.1,290.1,290.1,290.1,290.1,290.1,290.1,290.1,290.1,290.1
20,479.82,478.765,477.71,476.655,475.6,474.545,473.49,472.435,471.38,470.325,469.27,469.27,469.27,469.27,469.27,469.27,469.27,469.27,469.27,469.27,469.27,469.27,469.27,469.27,469.27,469.27,469.27,469.27,469.27,469.27,469.27
21,404.56,403.67,402.78,401.89,401,400.11,399.22,398.33,397.44,396.55,395.66,395.66,395.66,395.66,395.66,395.66,395.66,395.66,395.66,395.66,395.66,395.66,395.66,395.66,395.66,395.66,395.66,395.66,395.66,395.66,395.66
22,213.25,212.781,212.312,211.843,211.374,210.905,210.436,209.967,209.498,209.029,208.56,208.56,208.56,208.56,208.56,208.56,208.56,208.56,208.56,208.56,208.56,208.56,208.56,208.56,208.56,208.56,208.56,208.56,208.56,208.56,208.56
23,346.67,345.908,345.146,344.384,343.622,342.86,342.098,341.336,340.574,339.812,339.05,339.05,339.05,339.05,339.05,339.05,339.05,339.05,339.05,339.05,339.05,339.05,339.05,339.05,339.05,339.05,339.05,339.05,339.05,339.05,339.05
24,173.1,172.719,172.338,171.957,171.576,171.195,170.814,170.433,170.052,169.671,169.29,169.29,169.29,169.29,169.29,169.29,169.29,169.29,169.29,169.29,169.29,169.29,169.29,169.29,169.29,169.29,169.29,169.29,169.29,169.29,169.29
25,555.28,554.058,552.836,551.614,550.392,549.17,547.948,546.726,545.504,544.282,543.06,543.06,543.06,543.06,543.06,543.06,543.06,543.06,543.06,543.06,543.06,543.06,543.06,543.06,543.06,543.06,543.06,543.06,543.06,543.06,543.06
26,163.7,163.34,162.98,162.62,162.26,161.9,161.54,161.18,160.82,160.46,160.1,160.1,160.1,160.1,160.1,160.1,160.1,160.1,160.1,160.1,160.1,160.1,160.1,160.1,160.1,160.1,160.1,160.1,160.1,160.1,160.1
27,254.17,253.611,253.052,252.493,251.934,251.375,250.816,250.257,249.698,249.139,248.58,248.58,248.58,248.58,248.58,248.58,248.58,248.58,248.58,248.58,248.58,248.58,248.58,248.58,248.58,248.58,248.58,248.58,248.58,248.58,248.58
28,255.59,255.027,254.464,253.901,253.338,252.775,252.212,251.649,251.086,250.523,249.96,249.96,249.96,249.96,249.96,249.96,249.96,249.96,249.96,249.96,249.96,249.96,249.96,249.96,249.96,249.96,249.96,249.96,249.96,249.96,249.96
29,182.78,182.378,181.976,181.574,181.172,180.77,180.368,179.966,179.564,179.162,178.76,178.76,178.76,178.76,178.76,178.76,178.76,178.76,178.76,178.76,178.76,178.76,178.76,178.76,178.76,178.76,178.76,178.76,178.76,178.76,178.76
30,228.45,227.947,227.444,226.941,226.438,225.935,225.432,224.929,224.426,223.923,223.42,223.42,223.42,223.42,223.42,223.42,223.42,223.42,223.42,223.42,223.42,223.42,223.42,223.42,223.42,223.42,223.42,223.42,223.42,223.42,223.42
31,177.09,176.701,176.312,175.923,175.534,175.145,174.756,174.367,173.978,173.589,173.2,173.2,173.2,173.2,173.2,173.2,173.2,173.2,173.2,173.2,173.2,173.2,173.2,173.2,173.2,173.2,173.2,173.2,173.2,173.2,173.2
