"Pack_ID","Road_2015","Road_2016","Road_2017","Road_2018","Road_2019","Road_2020","Road_2021","Road_2022","Road_2023","Road_2024","Road_2025","Road_2026","Road_2027","Road_2028","Road_2029","Road_2030","Road_2031","Road_2032","Road_2033","Road_2034","Road_2035","Road_2036","Road_2037","Road_2038","Road_2039","Road_2040","Road_2041","Road_2042","Road_2043","Road_2044","Road_2045"
1,88.02723978,89.503515802,90.979791824,92.456067846,93.932343868,95.40861989,96.884895912,98.361171934,99.8374479560001,101.313723978,102.79,102.79,102.79,102.79,102.79,102.79,102.79,102.79,102.79,102.79,102.79,106.203,109.616,113.029,116.442,119.855,123.268,126.681,130.094,133.507,136.92
2,116.7045156,117.67506404,118.64561248,119.61616092,120.58670936,121.5572578,122.52780624,123.49835468,124.46890312,125.43945156,126.41,126.41,126.41,126.41,126.41,126.41,126.41,126.41,126.41,126.41,126.41,127.779,129.148,130.517,131.886,133.255,134.624,135.993,137.362,138.731,140.1
3,8.561385718,8.5662471462,8.5711085744,8.5759700026,8.5808314308,8.585692859,8.5905542872,8.5954157154,8.6002771436,8.6051385718,8.61,8.61,8.61,8.61,8.61,8.61,8.61,8.61,8.61,8.61,8.61,8.81,9.01,9.21,9.41,9.61,9.81,10.01,10.21,10.41,10.61
4,46.74693274,47.920239466,49.093546192,50.266852918,51.440159644,52.61346637,53.786773096,54.960079822,56.133386548,57.306693274,58.48,58.48,58.48,58.48,58.48,58.48,58.48,58.48,58.48,58.48,58.48,59.781,61.082,62.383,63.684,64.985,66.286,67.587,68.888,70.189,71.49
5,30.81324543,32.682920887,34.552596344,36.422271801,38.291947258,40.161622715,42.031298172,43.900973629,45.770649086,47.640324543,49.51,49.51,49.51,49.51,49.51,49.51,49.51,49.51,49.51,49.51,49.51,49.51,49.51,49.51,49.51,49.51,49.51,49.51,49.51,49.51,49.51
6,238.3270335,238.90133015,239.4756268,240.04992345,240.6242201,241.19851675,241.7728134,242.34711005,242.9214067,243.49570335,244.07,244.07,244.07,244.07,244.07,244.07,244.07,244.07,244.07,244.07,244.07,244.07,244.07,244.07,244.07,244.07,244.07,244.07,244.07,244.07,244.07
7,252.6908816,260.09879344,267.50670528,274.91461712,282.32252896,289.7304408,297.13835264,304.54626448,311.95417632,319.36208816,326.77,326.77,326.77,326.77,326.77,326.77,326.77,326.77,326.77,326.77,326.77,329.623,332.476,335.329,338.182,341.035,343.888,346.741,349.594,352.447,355.3
8,248.8993379,250.74240411,252.58547032,254.42853653,256.27160274,258.11466895,259.95773516,261.80080137,263.64386758,265.48693379,267.33,267.33,267.33,267.33,267.33,267.33,267.33,267.33,267.33,267.33,267.33,267.512,267.694,267.876,268.058,268.24,268.422,268.604,268.786,268.968,269.15
9,24.60811905,24.964307145,25.32049524,25.676683335,26.03287143,26.389059525,26.74524762,27.101435715,27.45762381,27.813811905,28.17,28.17,28.17,28.17,28.17,28.17,28.17,28.17,28.17,28.17,28.17,28.709,29.248,29.787,30.326,30.865,31.404,31.943,32.482,33.021,33.56
10,67.70826703,76.624440327,85.540613624,94.456786921,103.372960218,112.289133515,121.205306812,130.121480109,139.037653406,147.953826703,156.87,156.87,156.87,156.87,156.87,156.87,156.87,156.87,156.87,156.87,156.87,157.596,158.322,159.048,159.774,160.5,161.226,161.952,162.678,163.404,164.13
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,5.19221398,5.191992582,5.191771184,5.191549786,5.191328388,5.19110699,5.190885592,5.190664194,5.190442796,5.190221398,5.19,5.19,5.19,5.19,5.19,5.19,5.19,5.19,5.19,5.19,5.19,6.127,7.064,8.001,8.938,9.875,10.812,11.749,12.686,13.623,14.56
13,17.44250161,17.494251449,17.546001288,17.597751127,17.649500966,17.701250805,17.753000644,17.804750483,17.856500322,17.908250161,17.96,17.96,17.96,17.96,17.96,17.96,17.96,17.96,17.96,17.96,17.96,19.249,20.538,21.827,23.116,24.405,25.694,26.983,28.272,29.561,30.85
14,271.5955786,272.55802074,273.52046288,274.48290502,275.44534716,276.4077893,277.37023144,278.33267358,279.29511572,280.25755786,281.22,281.22,281.22,281.22,281.22,281.22,281.22,281.22,281.22,281.22,281.22,284.527,287.834,291.141,294.448,297.755,301.062,304.369,307.676,310.983,314.29
15,23.18523974,23.870715766,24.556191792,25.241667818,25.927143844,26.61261987,27.298095896,27.983571922,28.669047948,29.354523974,30.04,30.04,30.04,30.04,30.04,30.04,30.04,30.04,30.04,30.04,30.04,32.558,35.076,37.594,40.112,42.63,45.148,47.666,50.184,52.702,55.22
16,346.980271,357.5382439,368.0962168,378.6541897,389.2121626,399.7701355,410.3281084,420.8860813,431.4440542,442.0020271,452.56,457.197,461.834,466.471,471.108,475.745,480.382,485.019,489.656,494.293,498.93,498.93,498.93,498.93,498.93,498.93,498.93,498.93,498.93,498.93,498.93
17,227.2455217,233.45196953,239.65841736,245.86486519,252.07131302,258.27776085,264.48420868,270.69065651,276.89710434,283.10355217,289.31,289.31,289.31,289.31,289.31,289.31,289.31,289.31,289.31,289.31,289.31,289.312,289.314,289.316,289.318,289.32,289.322,289.324,289.326,289.328,289.33
18,227.3685718,229.24071462,231.11285744,232.98500026,234.85714308,236.7292859,238.60142872,240.47357154,242.34571436,244.21785718,246.09,246.09,246.09,246.09,246.09,246.09,246.09,246.09,246.09,246.09,246.09,246.09,246.09,246.09,246.09,246.09,246.09,246.09,246.09,246.09,246.09
19,296.6237686,301.20439174,305.78501488,310.36563802,314.94626116,319.5268843,324.10750744,328.68813058,333.26875372,337.84937686,342.43,344.964,347.498,350.032,352.566,355.1,357.634,360.168,362.702,365.236,367.77,367.772,367.774,367.776,367.778,367.78,367.782,367.784,367.786,367.788,367.79
20,479.8233573,492.91402157,506.00468584,519.09535011,532.18601438,545.27667865,558.36734292,571.45800719,584.54867146,597.63933573,610.73,610.73,610.73,610.73,610.73,610.73,610.73,610.73,610.73,610.73,610.73,610.73,610.73,610.73,610.73,610.73,610.73,610.73,610.73,610.73,610.73
21,404.5567129,409.77504161,414.99337032,420.21169903,425.43002774,430.64835645,435.86668516,441.08501387,446.30334258,451.52167129,456.74,456.74,456.74,456.74,456.74,456.74,456.74,456.74,456.74,456.74,456.74,457.574,458.408,459.242,460.076,460.91,461.744,462.578,463.412,464.246,465.08
22,213.248823,218.3169407,223.3850584,228.4531761,233.5212938,238.5894115,243.6575292,248.7256469,253.7937646,258.8618823,263.93,263.93,263.93,263.93,263.93,263.93,263.93,263.93,263.93,263.93,263.93,264.936,265.942,266.948,267.954,268.96,269.966,270.972,271.978,272.984,273.99
23,346.6731459,351.14383131,355.61451672,360.08520213,364.55588754,369.02657295,373.49725836,377.96794377,382.43862918,386.90931459,391.38,395.977,400.574,405.171,409.768,414.365,418.962,423.559,428.156,432.753,437.35,437.35,437.35,437.35,437.35,437.35,437.35,437.35,437.35,437.35,437.35
24,173.098476,180.0216284,186.9447808,193.8679332,200.7910856,207.714238,214.6373904,221.5605428,228.4836952,235.4068476,242.33,242.33,242.33,242.33,242.33,242.33,242.33,242.33,242.33,242.33,242.33,242.33,242.33,242.33,242.33,242.33,242.33,242.33,242.33,242.33,242.33
25,555.275077,573.4585693,591.6420616,609.8255539,628.0090462,646.1925385,664.3760308,682.5595231,700.7430154,718.9265077,737.11,743.423,749.736,756.049,762.362,768.675,774.988,781.301,787.614,793.927,800.24,800.241,800.242,800.243,800.244,800.245,800.246,800.247,800.248,800.249,800.25
26,163.7016502,163.81548518,163.92932016,164.04315514,164.15699012,164.2708251,164.38466008,164.49849506,164.61233004,164.72616502,164.84,170.335,175.83,181.325,186.82,192.315,197.81,203.305,208.8,214.295,219.79,219.792,219.794,219.796,219.798,219.8,219.802,219.804,219.806,219.808,219.81
27,254.170484,260.1004356,266.0303872,271.9603388,277.8902904,283.820242,289.7501936,295.6801452,301.6100968,307.5400484,313.47,313.953,314.436,314.919,315.402,315.885,316.368,316.851,317.334,317.817,318.3,318.931,319.562,320.193,320.824,321.455,322.086,322.717,323.348,323.979,324.61
28,255.5860604,264.31545436,273.04484832,281.77424228,290.50363624,299.2330302,307.96242416,316.69181812,325.42121208,334.15060604,342.88,342.88,342.88,342.88,342.88,342.88,342.88,342.88,342.88,342.88,342.88,343.714,344.548,345.382,346.216,347.05,347.884,348.718,349.552,350.386,351.22
29,182.7784172,190.25857548,197.73873376,205.21889204,212.69905032,220.1792086,227.65936688,235.13952516,242.61968344,250.09984172,257.58,260.404,263.228,266.052,268.876,271.7,274.524,277.348,280.172,282.996,285.82,286.467,287.114,287.761,288.408,289.055,289.702,290.349,290.996,291.643,292.29
30,228.4480113,237.55221017,246.65640904,255.76060791,264.86480678,273.96900565,283.07320452,292.17740339,301.28160226,310.38580113,319.49,319.49,319.49,319.49,319.49,319.49,319.49,319.49,319.49,319.49,319.49,319.49,319.49,319.49,319.49,319.49,319.49,319.49,319.49,319.49,319.49
31,177.0911016,178.57199144,180.05288128,181.53377112,183.01466096,184.4955508,185.97644064,187.45733048,188.93822032,190.41911016,191.9,193.295,194.69,196.085,197.48,198.875,200.27,201.665,203.06,204.455,205.85,207.274,208.698,210.122,211.546,212.97,214.394,215.818,217.242,218.666,220.09
