"Pack_ID","Road_2015","Road_2016","Road_2017","Road_2018","Road_2019","Road_2020","Road_2021","Road_2022","Road_2023","Road_2024","Road_2025","Road_2026","Road_2027","Road_2028","Road_2029","Road_2030","Road_2031","Road_2032","Road_2033","Road_2034","Road_2035","Road_2036","Road_2037","Road_2038","Road_2039","Road_2040","Road_2041","Road_2042","Road_2043","Road_2044","Road_2045"
1,88.03,88.03,88.03,88.03,88.03,88.03,88.03,88.03,88.03,88.03,88.03,88.03,88.03,88.03,88.03,88.03,88.03,88.03,88.03,88.03,88.03,88.03,88.03,88.03,88.03,88.03,88.03,88.03,88.03,88.03,88.03
2,116.7,116.7,116.7,116.7,116.7,116.7,116.7,116.7,116.7,116.7,116.7,116.7,116.7,116.7,116.7,116.7,116.7,116.7,116.7,116.7,116.7,116.7,116.7,116.7,116.7,116.7,116.7,116.7,116.7,116.7,116.7
3,8.56,8.56,8.56,8.56,8.56,8.56,8.56,8.56,8.56,8.56,8.56,8.56,8.56,8.56,8.56,8.56,8.56,8.56,8.56,8.56,8.56,8.56,8.56,8.56,8.56,8.56,8.56,8.56,8.56,8.56,8.56
4,46.75,46.75,46.75,46.75,46.75,46.75,46.75,46.75,46.75,46.75,46.75,46.75,46.75,46.75,46.75,46.75,46.75,46.75,46.75,46.75,46.75,46.75,46.75,46.75,46.75,46.75,46.75,46.75,46.75,46.75,46.75
5,30.81,30.81,30.81,30.81,30.81,30.81,30.81,30.81,30.81,30.81,30.81,30.81,30.81,30.81,30.81,30.81,30.81,30.81,30.81,30.81,30.81,30.81,30.81,30.81,30.81,30.81,30.81,30.81,30.81,30.81,30.81
6,238.33,238.33,238.33,238.33,238.33,238.33,238.33,238.33,238.33,238.33,238.33,238.33,238.33,238.33,238.33,238.33,238.33,238.33,238.33,238.33,238.33,238.33,238.33,238.33,238.33,238.33,238.33,238.33,238.33,238.33,238.33
7,252.69,252.69,252.69,252.69,252.69,252.69,252.69,252.69,252.69,252.69,252.69,252.69,252.69,252.69,252.69,252.69,252.69,252.69,252.69,252.69,252.69,252.69,252.69,252.69,252.69,252.69,252.69,252.69,252.69,252.69,252.69
8,248.9,248.9,248.9,248.9,248.9,248.9,248.9,248.9,248.9,248.9,248.9,248.9,248.9,248.9,248.9,248.9,248.9,248.9,248.9,248.9,248.9,248.9,248.9,248.9,248.9,248.9,248.9,248.9,248.9,248.9,248.9
9,24.61,24.61,24.61,24.61,24.61,24.61,24.61,24.61,24.61,24.61,24.61,24.61,24.61,24.61,24.61,24.61,24.61,24.61,24.61,24.61,24.61,24.61,24.61,24.61,24.61,24.61,24.61,24.61,24.61,24.61,24.61
10,67.71,67.71,67.71,67.71,67.71,67.71,67.71,67.71,67.71,67.71,67.71,67.71,67.71,67.71,67.71,67.71,67.71,67.71,67.71,67.71,67.71,67.71,67.71,67.71,67.71,67.71,67.71,67.71,67.71,67.71,67.71
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,5.19,5.19,5.19,5.19,5.19,5.19,5.19,5.19,5.19,5.19,5.19,5.19,5.19,5.19,5.19,5.19,5.19,5.19,5.19,5.19,5.19,5.19,5.19,5.19,5.19,5.19,5.19,5.19,5.19,5.19,5.19
13,17.44,17.44,17.44,17.44,17.44,17.44,17.44,17.44,17.44,17.44,17.44,17.44,17.44,17.44,17.44,17.44,17.44,17.44,17.44,17.44,17.44,17.44,17.44,17.44,17.44,17.44,17.44,17.44,17.44,17.44,17.44
14,271.6,271.6,271.6,271.6,271.6,271.6,271.6,271.6,271.6,271.6,271.6,271.6,271.6,271.6,271.6,271.6,271.6,271.6,271.6,271.6,271.6,271.6,271.6,271.6,271.6,271.6,271.6,271.6,271.6,271.6,271.6
15,23.19,23.19,23.19,23.19,23.19,23.19,23.19,23.19,23.19,23.19,23.19,23.19,23.19,23.19,23.19,23.19,23.19,23.19,23.19,23.19,23.19,23.19,23.19,23.19,23.19,23.19,23.19,23.19,23.19,23.19,23.19
16,346.98,346.98,346.98,346.98,346.98,346.98,346.98,346.98,346.98,346.98,346.98,346.98,346.98,346.98,346.98,346.98,346.98,346.98,346.98,346.98,346.98,346.98,346.98,346.98,346.98,346.98,346.98,346.98,346.98,346.98,346.98
17,227.25,227.25,227.25,227.25,227.25,227.25,227.25,227.25,227.25,227.25,227.25,227.25,227.25,227.25,227.25,227.25,227.25,227.25,227.25,227.25,227.25,227.25,227.25,227.25,227.25,227.25,227.25,227.25,227.25,227.25,227.25
18,227.37,227.37,227.37,227.37,227.37,227.37,227.37,227.37,227.37,227.37,227.37,227.37,227.37,227.37,227.37,227.37,227.37,227.37,227.37,227.37,227.37,227.37,227.37,227.37,227.37,227.37,227.37,227.37,227.37,227.37,227.37
19,296.62,296.62,296.62,296.62,296.62,296.62,296.62,296.62,296.62,296.62,296.62,296.62,296.62,296.62,296.62,296.62,296.62,296.62,296.62,296.62,296.62,296.62,296.62,296.62,296.62,296.62,296.62,296.62,296.62,296.62,296.62
20,479.82,479.82,479.82,479.82,479.82,479.82,479.82,479.82,479.82,479.82,479.82,479.82,479.82,479.82,479.82,479.82,479.82,479.82,479.82,479.82,479.82,479.82,479.82,479.82,479.82,479.82,479.82,479.82,479.82,479.82,479.82
21,404.56,404.56,404.56,404.56,404.56,404.56,404.56,404.56,404.56,404.56,404.56,404.56,404.56,404.56,404.56,404.56,404.56,404.56,404.56,404.56,404.56,404.56,404.56,404.56,404.56,404.56,404.56,404.56,404.56,404.56,404.56
