"Pack_ID","Road_2015","Road_2016","Road_2017","Road_2018","Road_2019","Road_2020","Road_2021","Road_2022","Road_2023","Road_2024","Road_2025","Road_2026","Road_2027","Road_2028","Road_2029","Road_2030","Road_2031","Road_2032","Road_2033","Road_2034","Road_2035","Road_2036","Road_2037","Road_2038","Road_2039","Road_2040","Road_2041","Road_2042","Road_2043","Road_2044","Road_2045"
1,88.03,85.583,83.136,80.689,78.242,75.795,73.348,70.901,68.454,66.007,63.56,63.56,63.56,63.56,63.56,63.56,63.56,63.56,63.56,63.56,63.56,63.56,63.56,63.56,63.56,63.56,63.56,63.56,63.56,63.56,63.56
2,116.7,113.456,110.212,106.968,103.724,100.48,97.236,93.992,90.748,87.504,84.26,84.26,84.26,84.26,84.26,84.26,84.26,84.26,84.26,84.26,84.26,84.26,84.26,84.26,84.26,84.26,84.26,84.26,84.26,84.26,84.26
3,8.56,8.322,8.084,7.846,7.608,7.37,7.132,6.894,6.656,6.418,6.18,6.18,6.18,6.18,6.18,6.18,6.18,6.18,6.18,6.18,6.18,6.18,6.18,6.18,6.18,6.18,6.18,6.18,6.18,6.18,6.18
4,46.75,45.45,44.15,42.85,41.55,40.25,38.95,37.65,36.35,35.05,33.75,33.75,33.75,33.75,33.75,33.75,33.75,33.75,33.75,33.75,33.75,33.75,33.75,33.75,33.75,33.75,33.75,33.75,33.75,33.75,33.75
5,30.81,29.954,29.098,28.242,27.386,26.53,25.674,24.818,23.962,23.106,22.25,22.25,22.25,22.25,22.25,22.25,22.25,22.25,22.25,22.25,22.25,22.25,22.25,22.25,22.25,22.25,22.25,22.25,22.25,22.25,22.25
6,238.33,231.704,225.078,218.452,211.826,205.2,198.574,191.948,185.322,178.696,172.07,172.07,172.07,172.07,172.07,172.07,172.07,172.07,172.07,172.07,172.07,172.07,172.07,172.07,172.07,172.07,172.07,172.07,172.07,172.07,172.07
7,252.69,245.665,238.64,231.615,224.59,217.565,210.54,203.515,196.49,189.465,182.44,182.44,182.44,182.44,182.44,182.44,182.44,182.44,182.44,182.44,182.44,182.44,182.44,182.44,182.44,182.44,182.44,182.44,182.44,182.44,182.44
8,248.9,241.981,235.062,228.143,221.224,214.305,207.386,200.467,193.548,186.629,179.71,179.71,179.71,179.71,179.71,179.71,179.71,179.71,179.71,179.71,179.71,179.71,179.71,179.71,179.71,179.71,179.71,179.71,179.71,179.71,179.71
9,24.61,23.926,23.242,22.558,21.874,21.19,20.506,19.822,19.138,18.454,17.77,17.77,17.77,17.77,17.77,17.77,17.77,17.77,17.77,17.77,17.77,17.77,17.77,17.77,17.77,17.77,17.77,17.77,17.77,17.77,17.77
10,67.71,65.828,63.946,62.064,60.182,58.3,56.418,54.536,52.654,50.772,48.89,48.89,48.89,48.89,48.89,48.89,48.89,48.89,48.89,48.89,48.89,48.89,48.89,48.89,48.89,48.89,48.89,48.89,48.89,48.89,48.89
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,5.19,5.046,4.902,4.758,4.614,4.47,4.326,4.182,4.038,3.894,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75
13,17.44,16.955,16.47,15.985,15.5,15.015,14.53,14.045,13.56,13.075,12.59,12.59,12.59,12.59,12.59,12.59,12.59,12.59,12.59,12.59,12.59,12.59,12.59,12.59,12.59,12.59,12.59,12.59,12.59,12.59,12.59
14,271.6,264.049,256.498,248.947,241.396,233.845,226.294,218.743,211.192,203.641,196.09,196.09,196.09,196.09,196.09,196.09,196.09,196.09,196.09,196.09,196.09,196.09,196.09,196.09,196.09,196.09,196.09,196.09,196.09,196.09,196.09
15,23.19,22.545,21.9,21.255,20.61,19.965,19.32,18.675,18.03,17.385,16.74,16.74,16.74,16.74,16.74,16.74,16.74,16.74,16.74,16.74,16.74,16.74,16.74,16.74,16.74,16.74,16.74,16.74,16.74,16.74,16.74
16,346.98,337.334,327.688,318.042,308.396,298.75,289.104,279.458,269.812,260.166,250.52,250.52,250.52,250.52,250.52,250.52,250.52,250.52,250.52,250.52,250.52,250.52,250.52,250.52,250.52,250.52,250.52,250.52,250.52,250.52,250.52
17,227.25,220.932,214.614,208.296,201.978,195.66,189.342,183.024,176.706,170.388,164.07,164.07,164.07,164.07,164.07,164.07,164.07,164.07,164.07,164.07,164.07,164.07,164.07,164.07,164.07,164.07,164.07,164.07,164.07,164.07,164.07
18,227.37,221.049,214.728,208.407,202.086,195.765,189.444,183.123,176.802,170.481,164.16,164.16,164.16,164.16,164.16,164.16,164.16,164.16,164.16,164.16,164.16,164.16,164.16,164.16,164.16,164.16,164.16,164.16,164.16,164.16,164.16
19,296.62,288.374,280.128,271.882,263.636,255.39,247.144,238.898,230.652,222.406,214.16,214.16,214.16,214.16,214.16,214.16,214.16,214.16,214.16,214.16,214.16,214.16,214.16,214.16,214.16,214.16,214.16,214.16,214.16,214.16,214.16
20,479.82,466.481,453.142,439.803,426.464,413.125,399.786,386.447,373.108,359.769,346.43,346.43,346.43,346.43,346.43,346.43,346.43,346.43,346.43,346.43,346.43,346.43,346.43,346.43,346.43,346.43,346.43,346.43,346.43,346.43,346.43
21,404.56,393.313,382.066,370.819,359.572,348.325,337.078,325.831,314.584,303.337,292.09,292.09,292.09,292.09,292.09,292.09,292.09,292.09,292.09,292.09,292.09,292.09,292.09,292.09,292.09,292.09,292.09,292.09,292.09,292.09,292.09
22,213.25,207.322,201.394,195.466,189.538,183.61,177.682,171.754,165.826,159.898,153.97,153.97,153.97,153.97,153.97,153.97,153.97,153.97,153.97,153.97,153.97,153.97,153.97,153.97,153.97,153.97,153.97,153.97,153.97,153.97,153.97
23,346.67,337.033,327.396,317.759,308.122,298.485,288.848,279.211,269.574,259.937,250.3,250.3,250.3,250.3,250.3,250.3,250.3,250.3,250.3,250.3,250.3,250.3,250.3,250.3,250.3,250.3,250.3,250.3,250.3,250.3,250.3
24,173.1,168.288,163.476,158.664,153.852,149.04,144.228,139.416,134.604,129.792,124.98,124.98,124.98,124.98,124.98,124.98,124.98,124.98,124.98,124.98,124.98,124.98,124.98,124.98,124.98,124.98,124.98,124.98,124.98,124.98,124.98
25,555.28,539.843,524.406,508.969,493.532,478.095,462.658,447.221,431.784,416.347,400.91,400.91,400.91,400.91,400.91,400.91,400.91,400.91,400.91,400.91,400.91,400.91,400.91,400.91,400.91,400.91,400.91,400.91,400.91,400.91,400.91
26,163.7,159.149,154.598,150.047,145.496,140.945,136.394,131.843,127.292,122.741,118.19,118.19,118.19,118.19,118.19,118.19,118.19,118.19,118.19,118.19,118.19,118.19,118.19,118.19,118.19,118.19,118.19,118.19,118.19,118.19,118.19
27,254.17,247.104,240.038,232.972,225.906,218.84,211.774,204.708,197.642,190.576,183.51,183.51,183.51,183.51,183.51,183.51,183.51,183.51,183.51,183.51,183.51,183.51,183.51,183.51,183.51,183.51,183.51,183.51,183.51,183.51,183.51
28,255.59,248.484,241.378,234.272,227.166,220.06,212.954,205.848,198.742,191.636,184.53,184.53,184.53,184.53,184.53,184.53,184.53,184.53,184.53,184.53,184.53,184.53,184.53,184.53,184.53,184.53,184.53,184.53,184.53,184.53,184.53
