PACK_ID,Deer_2015,Deer_2025,Deer_2035,Deer_2045
0,2015,2025,2035,2045
1,3260,3080,2960,2919
2,1090,1084,1049,1031
3,4474,4472,4472,4472
4,1678,1673,1648,1621
5,3707,3633,3239,3137
6,2836,2753,2629,2586
7,2064,2057,2036,1979
8,1338,1251,1188,1178
9,3151,3138,2882,2882
10,3076,3003,2918,2649
11,2945,2940,2940,2940
12,3167,3165,3165,3165
13,2525,2523,2523,2521
14,1917,1827,1791,1762
15,1914,1870,1855,1822
16,2019,1803,1785,1447
17,1121,1143,1126,1112
18,1573,927,812,804
19,2859,2783,2685,2648
20,1895,1992,1944,1580
21,1287,947,946,825
22,1233,981,952,838
23,2997,2873,2879,2830
24,1478,1410,1405,1370
25,3169,2916,2858,2723
26,2552,2467,2472,2470
27,2146,2103,2146,2120
28,2812,3229,3088,2662
29,4040,3960,3960,3834
30,2019,1988,1958,1965
31,1078,1055,1062,1053
