Pack_ID,Deer_2015,Deer_2025,Deer_2035,Deer_2045
0,2015,2025,2035,2045
1,3260,3081,2960,2957
2,1090,1085,1022,1022
3,4474,4473,4473,4473
4,1678,1674,1649,1649
5,3707,3634,3241,3183
6,2836,2754,2631,2599
7,2064,2016,1995,1995
8,1338,1253,1212,1205
9,3151,3142,2896,2896
10,3076,3008,2996,2918
11,2945,2945,2945,2945
12,3167,3167,3167,3167
13,2525,2524,2524,2524
14,1917,1828,1791,1791
15,1914,1889,1874,1852
16,2019,1875,1847,1845
17,1121,1110,1091,1091
18,1573,926,844,837
19,2859,2798,2690,2687
20,1895,1756,1728,1728
21,1287,1033,1032,1032
22,1233,1057,1028,1019
23,2997,2922,2919,2911
24,1478,1451,1446,1416
25,3169,2988,2914,2910
26,2552,2470,2467,2467
27,2146,2126,2121,2120
28,2812,2806,2805,2804
29,4040,3981,3981,3981
30,2019,1989,1986,1986
31,1078,1061,1060,1060
