PACK_ID,Deer_2015,Deer_2025,Deer_2035,Deer_2045
0,2015,2025,2035,2045
1,3260,3080,2960,2919
2,1090,1084,1021,1001
3,4474,4472,4472,4472
4,1678,1673,1648,1621
5,3707,3633,3239,3137
6,2836,2753,2629,2586
7,2064,2014,1992,1797
8,1338,1251,1181,1171
9,3151,3138,2882,2882
10,3076,3003,2918,2649
11,2945,2940,2940,2940
12,3167,3165,3165,3165
13,2525,2523,2523,2521
14,1917,1827,1791,1762
15,1914,1870,1855,1822
16,2019,1832,1801,1472
17,1121,1090,1040,997
18,1573,927,812,804
19,2859,2779,2661,2628
20,1895,1692,1640,1536
21,1287,947,946,825
22,1233,981,885,771
23,2997,2844,2835,2788
24,1478,1410,1405,1289
25,3169,2762,2638,2105
26,2552,2467,2445,2443
27,2146,2039,1951,1901
28,2812,2767,2626,2570
29,4040,3944,3943,3803
30,2019,1988,1859,1850
31,1078,1061,1052,1028
