PACK_ID,Deer_2015,Deer_2025,Deer_2035,Deer_2045
0,2015,2025,2035,2045
1,3260,3080,2923,2865
2,1090,1084,1002,986
3,4474,4472,4472,4472
4,1678,1673,1621,1621
5,3707,3633,3195,3137
6,2836,2752,2618,2579
7,2064,2014,1797,1730
8,1338,1220,1176,1112
9,3151,3129,2882,2869
10,3076,2739,2727,2347
11,2945,2940,2940,2940
12,3167,3165,3165,3165
13,2525,2523,2521,2521
14,1917,1827,1762,1699
15,1914,1870,1850,1821
16,2019,1832,1414,1394
17,1121,1016,961,922
18,1573,894,809,738
19,2859,2770,2596,2542
20,1895,1613,1505,1331
21,1287,947,946,820
22,1233,914,873,725
23,2997,2786,2783,2651
24,1478,1263,1258,1152
25,3169,2734,2325,1969
26,2552,2461,2380,2372
27,2146,1957,1911,1847
28,2812,2603,2602,2268
29,4040,3916,3751,3656
30,2019,1780,1767,1659
31,1078,1037,962,957
