PACK_ID,Deer_2015,Deer_2025,Deer_2035,Deer_2045
0,2015,2025,2035,2045
1,3260,3043,2923,2787
2,1090,1065,1002,951
3,4474,4472,4472,4467
4,1678,1646,1621,1544
5,3707,3589,3195,3071
6,2836,2740,2618,2561
7,2064,1818,1797,1408
8,1338,1220,1179,1110
9,3151,3129,2882,2853
10,3076,2739,2728,2325
11,2945,2940,2940,2940
12,3167,3165,3165,3134
13,2525,2521,2521,2472
14,1917,1798,1762,1642
15,1914,1865,1850,1735
16,2019,1523,1369,1245
17,1121,947,929,863
18,1573,891,809,732
19,2859,2682,2503,2417
20,1895,1516,1488,1168
21,1287,947,946,807
22,1233,903,873,710
23,2997,2784,2660,2595
24,1478,1259,1255,1145
25,3169,2514,2302,1595
26,2552,2464,2339,2335
27,2146,1940,1913,1819
28,2812,2592,2591,2209
29,4040,3805,3730,3443
30,2019,1736,1732,1601
31,1078,1018,978,932
