PACK_ID,Roads_2015,Roads_2025,Roads_2035,Roads_2045
0,2015,2025,2035,2045
1,88.02723978,102.79,102.79,136.92
2,116.7045156,126.41,126.41,140.1
3,8.561385718,8.61,8.61,10.61
4,46.74693274,58.48,58.48,71.49
5,30.81324543,49.51,49.51,49.51
6,238.3270335,244.07,244.07,244.07
7,252.6908816,326.77,326.77,355.3
8,248.8993379,267.33,267.33,269.15
9,24.60811905,28.17,28.17,33.56
10,67.70826703,156.87,156.87,164.13
11,0,0,0,0
12,5.19221398,5.19,5.19,14.56
13,17.44250161,17.96,17.96,30.85
14,271.5955786,281.22,281.22,314.29
15,23.18523974,30.04,30.04,55.22
16,346.980271,452.56,498.93,498.93
17,227.2455217,289.31,289.31,289.33
18,227.3685718,246.09,246.09,246.09
19,296.6237686,342.43,367.77,367.79
20,479.8233573,610.73,610.73,610.73
21,404.5567129,456.74,456.74,465.08
22,213.248823,263.93,263.93,273.99
23,346.6731459,391.38,437.35,437.35
24,173.098476,242.33,242.33,242.33
25,555.275077,737.11,800.24,800.25
26,163.7016502,164.84,219.79,219.81
27,254.170484,313.47,318.3,324.61
28,255.5860604,342.88,342.88,351.22
29,182.7784172,257.58,285.82,292.29
30,228.4480113,319.49,319.49,319.49
31,177.0911016,191.9,205.85,220.09
