PACK_ID,Roads_2015,Roads_2025,Roads_2035,Roads_2045
0,2015,2025,2035,2045
1,88.03,54.4,54.4,54.4
2,116.7,72.12,72.12,72.12
3,8.56,5.29,5.29,5.29
4,46.75,28.89,28.89,28.89
5,30.81,19.04,19.04,19.04
6,238.33,147.29,147.29,147.29
7,252.69,156.16,156.16,156.16
8,248.9,153.82,153.82,153.82
9,24.61,15.21,15.21,15.21
10,67.71,41.84,41.84,41.84
11,0,0,0,0
12,5.19,3.21,3.21,3.21
13,17.44,10.78,10.78,10.78
14,271.6,167.85,167.85,167.85
15,23.19,14.33,14.33,14.33
16,346.98,214.43,214.43,214.43
17,227.25,140.44,140.44,140.44
18,227.37,140.51,140.51,140.51
19,296.62,183.31,183.31,183.31
20,479.82,296.53,296.53,296.53
21,404.56,250.02,250.02,250.02
22,213.25,131.79,131.79,131.79
23,346.67,214.24,214.24,214.24
24,173.1,106.97,106.97,106.97
25,555.28,343.16,343.16,343.16
26,163.7,101.17,101.17,101.17
27,254.17,157.08,157.08,157.08
28,255.59,157.95,157.95,157.95
29,182.78,112.96,112.96,112.96
30,228.45,141.18,141.18,141.18
31,177.09,109.44,109.44,109.44
