PACK_ID,Roads_2015,Roads_2025,Roads_2035,Roads_2045
0,2015,2025,2035,2045
1,88.03,63.56,63.56,63.56
2,116.7,84.26,84.26,84.26
3,8.56,6.18,6.18,6.18
4,46.75,33.75,33.75,33.75
5,30.81,22.25,22.25,22.25
6,238.33,172.07,172.07,172.07
7,252.69,182.44,182.44,182.44
8,248.9,179.71,179.71,179.71
9,24.61,17.77,17.77,17.77
10,67.71,48.89,48.89,48.89
11,0,0,0,0
12,5.19,3.75,3.75,3.75
13,17.44,12.59,12.59,12.59
14,271.6,196.09,196.09,196.09
15,23.19,16.74,16.74,16.74
16,346.98,250.52,250.52,250.52
17,227.25,164.07,164.07,164.07
18,227.37,164.16,164.16,164.16
19,296.62,214.16,214.16,214.16
20,479.82,346.43,346.43,346.43
21,404.56,292.09,292.09,292.09
22,213.25,153.97,153.97,153.97
23,346.67,250.3,250.3,250.3
24,173.1,124.98,124.98,124.98
25,555.28,400.91,400.91,400.91
26,163.7,118.19,118.19,118.19
27,254.17,183.51,183.51,183.51
28,255.59,184.53,184.53,184.53
29,182.78,131.97,131.97,131.97
30,228.45,164.94,164.94,164.94
31,177.09,127.86,127.86,127.86
