PACK_ID,Roads_2015,Roads_2025,Roads_2035,Roads_2045
0,2015,2025,2035,2045
1,88.03,86.09,86.09,86.09
2,116.7,114.14,114.14,114.14
3,8.56,8.37,8.37,8.37
4,46.75,45.72,45.72,45.72
5,30.81,30.14,30.14,30.14
6,238.33,233.08,233.08,233.08
7,252.69,247.13,247.13,247.13
8,248.9,243.42,243.42,243.42
9,24.61,24.07,24.07,24.07
10,67.71,66.22,66.22,66.22
11,0,0,0,0
12,5.19,5.08,5.08,5.08
13,17.44,17.06,17.06,17.06
14,271.6,265.62,265.62,265.62
15,23.19,22.68,22.68,22.68
16,346.98,339.35,339.35,339.35
17,227.25,222.25,222.25,222.25
18,227.37,222.37,222.37,222.37
19,296.62,290.1,290.1,290.1
20,479.82,469.27,469.27,469.27
21,404.56,395.66,395.66,395.66
22,213.25,208.56,208.56,208.56
23,346.67,339.05,339.05,339.05
24,173.1,169.29,169.29,169.29
25,555.28,543.06,543.06,543.06
26,163.7,160.1,160.1,160.1
27,254.17,248.58,248.58,248.58
28,255.59,249.96,249.96,249.96
29,182.78,178.76,178.76,178.76
30,228.45,223.42,223.42,223.42
31,177.09,173.2,173.2,173.2
