PACK_ID,Roads_2015,Roads_2025,Roads_2035,Roads_2045
0,2015,2025,2035,2045
1,88.03,88.03,88.03,88.03
2,116.7,116.7,116.7,116.7
3,8.56,8.56,8.56,8.56
4,46.75,46.75,46.75,46.75
5,30.81,30.81,30.81,30.81
6,238.33,238.33,238.33,238.33
7,252.69,252.69,252.69,252.69
8,248.9,248.9,248.9,248.9
9,24.61,24.61,24.61,24.61
10,67.71,67.71,67.71,67.71
11,0,0,0,0
12,5.19,5.19,5.19,5.19
13,17.44,17.44,17.44,17.44
14,271.6,271.6,271.6,271.6
15,23.19,23.19,23.19,23.19
16,346.98,346.98,346.98,346.98
17,227.25,227.25,227.25,227.25
18,227.37,227.37,227.37,227.37
19,296.62,296.62,296.62,296.62
20,479.82,479.82,479.82,479.82
21,404.56,404.56,404.56,404.56
22,213.25,213.25,213.25,213.25
23,346.67,346.67,346.67,346.67
24,173.1,173.1,173.1,173.1
25,555.28,555.28,555.28,555.28
26,163.7,163.7,163.7,163.7
27,254.17,254.17,254.17,254.17
28,255.59,255.59,255.59,255.59
29,182.78,182.78,182.78,182.78
30,228.45,228.45,228.45,228.45
31,177.09,177.09,177.09,177.09
