Pack_ID,land_sqkm,remote_y/n,avg_shore_dist,roads_2015_km,road_den,K_1954,K_1995,K_2015,K_2045,deer_den_1954,deer_den_1995,deer_den_2015,deer_den_2045
1,326.67,1,25.22,88.03,0.269476842,3437,3385,3260,2919,10.52132121,10.36213916,9.979490005,8.935623106
2,174.08,0,15.99,116.7,0.670381434,1561,1249,1090,1031,8.967141544,7.174862132,6.261488971,5.922564338
3,425.32,1,29.6,8.56,0.020126023,4550,4530,4474,4472,10.69782752,10.6508041,10.51913853,10.51443619
4,147.06,1,32.67,46.75,0.317897457,1963,1858,1678,1621,13.34829321,12.63429893,11.41030872,11.02271182
5,330.48,1,55.48,30.81,0.093228032,3901,3830,3707,3137,11.8040426,11.58920358,11.21701767,9.492253692
6,340.23,1,53.77,238.33,0.700496723,4811,4018,2836,2586,14.14043441,11.80965817,8.335537724,7.600740675
7,183.98,1,27.62,252.69,1.373464507,3576,2653,2064,1979,19.43689531,14.42004566,11.21861072,10.75660398
8,206.13,0,15.76,248.9,1.207490419,2257,1745,1338,1178,10.94940086,8.465531461,6.491049338,5.714840149
9,317.21,1,15.75,24.61,0.077582674,3328,3263,3151,2882,10.49147253,10.28656095,9.933482551,9.085463888
10,353.24,1,31.8,67.71,0.191682709,3331,3241,3076,2649,9.429849394,9.175065112,8.707960593,7.499150719
11,355.1,1,58.55,0,0,2972,2949,2945,2940,8.369473388,8.304702901,8.293438468,8.279357927
12,342.49,1,85.39,5.19,0.015153727,3167,3167,3167,3165,9.246985313,9.246985313,9.246985313,9.241145727
13,364.96,1,74.79,17.44,0.047786059,2597,2544,2525,2521,7.115848312,6.970626918,6.918566418,6.907606313
14,249.95,1,51.19,271.6,1.086617323,3181,2537,1917,1762,12.72654531,10.15003001,7.669533907,7.049409882
15,296.01,1,34.79,23.19,0.078341948,2120,2097,1914,1822,7.161920205,7.084220128,6.46599777,6.15519746
16,403.39,0,19.26,346.98,0.860160143,3239,2343,2019,1447,8.029450408,5.80827487,5.005081931,3.587099333
17,288.16,0,6.39,227.25,0.788624375,2288,1180,1121,1112,7.940033315,4.094947252,3.890199889,3.85896724
18,163.86,0,15.43,227.37,1.387586964,2030,1830,1573,804,12.38862444,11.1680703,9.599658245,4.906627609
19,424.13,0,8.59,296.62,0.699361045,3513,2939,2859,2648,8.282837809,6.929479169,6.740857756,6.243368778
20,330.71,0,10.6,479.82,1.450878413,3857,2238,1895,1580,11.66278613,6.767258323,5.730095854,4.77759971
21,332.71,0,5.11,404.56,1.215953834,3204,2336,1287,825,9.630008115,7.021129512,3.868233597,2.479636921
22,188.7,0,8.58,213.25,1.130100689,1977,1613,1233,838,10.47694754,8.547959724,6.53418124,4.4409115
23,451.49,0,0,346.67,0.767835389,4122,3229,2997,2830,9.129770316,7.151874903,6.638020776,6.268134399
24,184.07,0,9.56,173.1,0.940403108,2093,1674,1478,1370,11.3706742,9.094366274,8.029553974,7.442820666
25,388.81,0,30.47,555.28,1.428152568,6172,4193,3169,2723,15.87407731,10.78418765,8.150510532,7.003420694
26,307.57,0,28.64,163.7,0.532236564,3137,2761,2552,2470,10.19930422,8.976818285,8.297298176,8.0306922
27,322.22,0,23.72,254.17,0.788808888,3099,2289,2146,2120,9.617652536,7.103842095,6.660045931,6.57935572
28,289.9,1,17.97,255.59,0.881648844,5118,3108,2812,2662,17.65436357,10.72093825,9.699896516,9.182476716
29,436.87,0,24.76,182.78,0.418385332,5271,4499,4040,3834,12.06537414,10.29825806,9.247602262,8.776066107
30,240.72,0,11.45,228.45,0.949027916,2831,2253,2019,1965,11.76055168,9.359421735,8.387337986,8.163010967
31,219.47,0,31.12,177.09,0.806898437,1637,1149,1078,1053,7.458878207,5.235339682,4.911833052,4.797922267
