"year","mean","median","lcl","ucl"
2015,0.204806451612903,0.193548387096774,0.0967741935483871,0.32258064516129
2016,0.0845161290322579,0.0967741935483871,0,0.161290322580645
2017,0.10858064516129,0.0967741935483871,0,0.193548387096774
2018,0.143129032258064,0.161290322580645,0,0.258064516129032
2019,0.151677419354839,0.161290322580645,0,0.258064516129032
2020,0.142903225806451,0.161290322580645,0,0.258064516129032
2021,0.123161290322581,0.129032258064516,0,0.258064516129032
2022,0.0956451612903226,0.0645161290322581,0,0.225806451612903
2023,0.0666774193548389,0.032258064516129,0,0.225806451612903
2024,0.0446451612903223,0.032258064516129,0,0.193548387096774
2025,0.031,0,0,0.161290322580645
2026,0.019032258064516,0,0,0.0967741935483871
2027,0.0137096774193547,0,0,0.0645161290322581
2028,0.00941935483870957,0,0,0.032258064516129
2029,0.00625806451612893,0,0,0.032258064516129
2030,0.00529032258064506,0,0,0.032258064516129
2031,0.00345161290322588,0,0,0.032258064516129
2032,0.00261290322580643,0,0,0
2033,0.00258064516129031,0,0,0.032258064516129
2034,0.00258064516129031,0,0,0.032258064516129
2035,0.00245161290322586,0,0,0.032258064516129
2036,0.00161290322580643,0,0,0
2037,0.00141935483870969,0,0,0
2038,0.00148387096774196,0,0,0
2039,0.00177419354838711,0,0,0.032258064516129
2040,0.00148387096774196,0,0,0
2041,0.00122580645161293,0,0,0
2042,0.0016451612903226,0,0,0.032258064516129
2043,0.00103225806451613,0,0,0
2044,0.00141935483870969,0,0,0
2045,0.00129032258064516,0,0,0
