"year","mean","median","lcl","ucl"
2015,55069.312,55057.5,51752,58323
2016,55167.488,55739.5,47767,57972
2017,55584.719,56431,48245,58416
2018,55344.822,56355,48372,58609
2019,54774.596,55651,48036,58407
2020,53648.985,54557.5,46030,57932
2021,52545.206,53308,45277,57358
2022,51235.381,51873,43419,56586
2023,49853.1570000001,50372,41638,55848
2024,48468.293,48901,40199,54877
2025,46999.626,47540,38620,53966
2026,45654.852,46263.5,36891,52769
2027,44459.7650000001,45191,35157,51526
2028,43373.509,44087.5,34340,49903
2029,42253.865,43135.5,33286,48679
2030,41367.8190000001,42162.5,32900,47569
2031,40561.6029999999,41256,31569,46808
2032,39811.672,40566.5,30681,46241
2033,39225.4810000001,39875.5,30246,45551
2034,38725.1940000001,39307,29875,45250
2035,38246.852,38793,29496,44775
2036,37686.913,38324,28419,44309
2037,37239.5080000001,37844,28332,43937
2038,37060.5760000001,37572.5,28313,43699
2039,36720.267,37162.5,27844,43462
2040,36396.974,36886,27765,43184
2041,36121.861,36500,27566,43000
2042,35889.115,36318,27532,42907
2043,35601.574,35987,27310,42737
2044,35314.601,35668.5,26926,42724
2045,35098.6849999999,35477,26423,42462
