"year","mean","median","lcl","ucl"
2015,0.546935483870968,0.548387096774194,0.290322580645161,0.806451612903226
2016,0.546935483870968,0.548387096774194,0.290322580645161,0.806451612903226
2017,0.516580645161291,0.516129032258065,0.258064516129032,0.774193548387097
2018,0.456870967741936,0.451612903225806,0.161290322580645,0.741935483870968
2019,0.37725806451613,0.387096774193548,0,0.709677419354839
2020,0.286612903225805,0.290322580645161,0,0.67741935483871
2021,0.198548387096774,0.129032258064516,0,0.645161290322581
2022,0.130387096774194,0,0,0.548387096774194
2023,0.0831612903225808,0,0,0.483870967741935
2024,0.0533548387096771,0,0,0.387096774193548
2025,0.0355483870967739,0,0,0.290322580645161
2026,0.0238709677419357,0,0,0.129032258064516
2027,0.0171290322580642,0,0,0
2028,0.0122258064516131,0,0,0
2029,0.0095806451612902,0,0,0
2030,0.0076451612903226,0,0,0
2031,0.00558064516129022,0,0,0
2032,0.00416129032258069,0,0,0
2033,0.00322580645161286,0,0,0
2034,0.002516129032258,0,0,0
2035,0.00203225806451608,0,0,0
2036,0.00177419354838711,0,0,0
2037,0.00154838709677416,0,0,0
2038,0.00138709677419353,0,0,0
2039,0.00116129032258066,0,0,0
2040,0.000935483870967732,0,0,0
2041,0.000935483870967732,0,0,0
2042,0.000935483870967732,0,0,0
2043,0.000935483870967732,0,0,0
2044,0.000935483870967732,0,0,0
2045,0.000935483870967732,0,0,0
