"year","mean","median","lcl","ucl"
2015,5794.505,5851.5,5026,6100
2016,5647.769,5745,4842,5926
2017,5484.88,5623,4632,5814
2018,5338.728,5485,4521,5721
2019,5163.83299999999,5317,4262,5631
2020,5010.473,5146,4041,5547
2021,4846.40600000001,4963.5,3864,5465
2022,4673.50600000001,4772.5,3654,5378
2023,4491.85199999999,4565.5,3440,5277
2024,4289.31,4349,3201,5174
2025,4094.035,4165,2956,5027
2026,3912.775,3993.5,2724,4894
2027,3744.092,3819.5,2552,4749
2028,3573.636,3659,2418,4550
2029,3423.64200000001,3499,2294,4376
2030,3287.571,3348,2160,4220
2031,3163.38400000001,3218,2037,4071
2032,3060.437,3118.5,1912,3936
2033,2971.402,3028.5,1851,3836
2034,2892.32400000001,2931,1780,3764
2035,2812.42299999999,2843,1693,3715
2036,2740.53399999999,2778.5,1610,3627
2037,2691.682,2743.5,1554,3573
2038,2636.552,2683,1464,3536
2039,2582.67599999999,2632,1439,3483
2040,2534.44100000001,2569,1423,3451
2041,2491.6,2527,1384,3415
2042,2444.723,2484.5,1381,3387
2043,2400.136,2439,1344,3362
2044,2362.05800000001,2405.5,1324,3325
2045,2327.23200000001,2362.5,1307,3317
