"year","mean","median","lcl","ucl"
2015,81.5940000000005,81,35,127
2016,110.338,110,50,169
2017,128.050000000001,128,54,198
2018,145.494,146,62,224
2019,167.610999999999,168,71,268
2020,194.533,192,80,312
2021,226.374,228.5,94,344
2022,259.94,276.5,109,369
2023,289.987999999999,314,128,384
2024,314.371000000001,336,154,395
2025,332.213,348,182,404
2026,343.414999999999,353,224,412
2027,350.698,359,270,411
2028,355.416000000001,362,288,414
2029,355.121000000001,359,300,412
2030,354.284,358,298,410
2031,351.863,354,294,407
2032,348.619,351,292,405
2033,344.845,345,290,399
2034,341.517,342,289,394
2035,338.17,339,286,392
2036,334.304,336,280,387
2037,331.18,333,277,380
2038,328.818,330,278,380
2039,325.723,327,275,375
2040,323.239,324,273,373
2041,319.989,320.5,270,369
2042,317.950999999999,318,270,365
2043,315.938,316,266,365
2044,314.066,315,265,361
2045,312.063,312,265,359
