"year","mean","median","lcl","ucl"
2015,0.198354838709678,0.193548387096774,0.0967741935483871,0.32258064516129
2016,0.0778709677419352,0.0645161290322581,0,0.161290322580645
2017,0.109096774193548,0.0967741935483871,0,0.193548387096774
2018,0.148741935483871,0.161290322580645,0,0.258064516129032
2019,0.169032258064516,0.193548387096774,0.032258064516129,0.290322580645161
2020,0.174290322580645,0.193548387096774,0.032258064516129,0.290322580645161
2021,0.171935483870967,0.161290322580645,0.032258064516129,0.290322580645161
2022,0.168322580645161,0.161290322580645,0.032258064516129,0.290322580645161
2023,0.162161290322581,0.161290322580645,0.032258064516129,0.258064516129032
2024,0.156838709677419,0.161290322580645,0.032258064516129,0.258064516129032
2025,0.158387096774194,0.161290322580645,0,0.290322580645161
2026,0.150677419354838,0.161290322580645,0,0.258064516129032
2027,0.145612903225806,0.161290322580645,0,0.258064516129032
2028,0.140193548387097,0.129032258064516,0,0.258064516129032
2029,0.136806451612903,0.129032258064516,0,0.258064516129032
2030,0.136483870967742,0.129032258064516,0,0.258064516129032
2031,0.131032258064516,0.129032258064516,0,0.258064516129032
2032,0.124193548387097,0.129032258064516,0,0.258064516129032
2033,0.123258064516129,0.129032258064516,0,0.258064516129032
2034,0.120709677419355,0.0967741935483871,0,0.258064516129032
2035,0.118741935483871,0.0967741935483871,0,0.258064516129032
2036,0.115774193548387,0.0967741935483871,0,0.258064516129032
2037,0.111064516129032,0.0967741935483871,0,0.225806451612903
2038,0.109258064516129,0.0967741935483871,0,0.225806451612903
2039,0.104258064516129,0.0967741935483871,0,0.225806451612903
2040,0.104,0.0967741935483871,0,0.225806451612903
2041,0.103225806451613,0.0967741935483871,0,0.225806451612903
2042,0.102516129032258,0.0967741935483871,0,0.225806451612903
2043,0.101032258064516,0.0967741935483871,0,0.225806451612903
2044,0.100806451612903,0.0967741935483871,0,0.225806451612903
2045,0.10083870967742,0.0967741935483871,0,0.225806451612903
