"year","mean","median","lcl","ucl"
2015,0.998,1,1,1
2016,0.996,1,1,1
2017,0.998,1,1,1
2018,0.991,1,1,1
2019,0.991,1,1,1
2020,0.986,1,1,1
2021,0.99,1,1,1
2022,0.988,1,1,1
2023,0.983,1,1,1
2024,0.983,1,1,1
2025,0.98,1,1,1
2026,0.981,1,1,1
2027,0.971,1,1,1
2028,0.98,1,1,1
2029,0.965,1,1,1
2030,0.963,1,1,1
2031,0.963,1,1,1
2032,0.956999999999999,1,1,1
2033,0.954,1,1,1
2034,0.943,1,0,1
2035,0.939,1,0,1
2036,0.936,1,0,1
2037,0.942,1,0,1
2038,0.934000000000001,1,0,1
2039,0.934000000000001,1,0,1
2040,0.934999999999999,1,0,1
2041,0.937000000000001,1,0,1
2042,0.928000000000001,1,0,1
2043,0.918,1,0,1
2044,0.934000000000001,1,0,1
2045,0.931000000000001,1,0,1
