"year","mean","median","lcl","ucl"
2015,55016.639,55028.5,51762,58233
2016,55049.902,55691,47155,57794
2017,55851.776,56953.5,48222,58418
2018,56090.082,57294,48954,58901
2019,55991.062,57143.5,48920,59065
2020,55737.786,56791.5,48710,58925
2021,55422.691,56392.5,48922,58645
2022,54991.835,55972.5,48130,58370
2023,54573.897,55556,48033,58088
2024,54168.963,55110.5,47216,57900
2025,53759.745,54608.5,46350,57687
2026,53461.456,54284.5,45891,57379
2027,53053.303,53940.5,45444,57251
2028,52650.591,53488.5,45251,57089
2029,52335.519,53035,44888,56816
2030,52163.683,52808,44998,56687
2031,51855.627,52561,44400,56387
2032,51425.771,52204,43312,56189
2033,51237.727,51773.5,43786,55962
2034,50918.053,51578,42980,55812
2035,50740.19,51378,43117,55721
2036,50704.845,51205,43142,55628
2037,50385.577,50942.5,42790,55523
2038,50188.952,50689,42818,55357
2039,49976.1029999999,50447.5,42304,55059
2040,49811.531,50243.5,42591,54781
2041,49597.429,50037.5,42341,54677
2042,49487.6940000001,49874.5,42076,54422
2043,49246.257,49741,41699,54299
2044,49055.651,49569.5,41374,54052
2045,48941.406,49421,41253,53854
