"year","mean","median","lcl","ucl"
2015,5781.578,5854.5,4977,6092
2016,5632.274,5746.5,4777,5920
2017,5510.863,5672.5,4655,5823
2018,5411.88,5586.5,4560,5760
2019,5319.989,5492.5,4456,5700
2020,5237.978,5402.5,4407,5640
2021,5149.08000000001,5305.5,4286,5584
2022,5066.861,5221.5,4189,5538
2023,4988.72,5133,4032,5490
2024,4911.365,5045.5,3915,5446
2025,4844.84,4972.5,3825,5399
2026,4781.91999999999,4905.5,3817,5380
2027,4721.51200000001,4833.5,3791,5351
2028,4670.03699999999,4758.5,3709,5328
2029,4636.96,4714.5,3694,5304
2030,4592.50100000001,4679,3672,5282
2031,4534.278,4609,3508,5257
2032,4501.6,4561.5,3521,5228
2033,4459.06100000001,4521.5,3457,5217
2034,4431.56699999999,4477.5,3440,5196
2035,4421.05800000001,4451,3436,5183
2036,4380.596,4418,3404,5157
2037,4349.71599999999,4381.5,3432,5130
2038,4318.038,4340.5,3341,5099
2039,4291.04799999999,4312,3352,5068
2040,4259.03400000001,4274.5,3282,5048
2041,4238.34900000001,4254.5,3313,5020
2042,4204.44199999999,4223,3263,4988
2043,4176.19999999999,4202,3266,4958
2044,4156.508,4177,3233,4925
2045,4127.13,4156,3163,4879
