"year","mean","median","lcl","ucl"
2015,133.143,133,56,212
2016,135.595,135,59,217
2017,141.613999999999,141,58,230
2018,149.470999999999,149,61,246
2019,155.497000000001,154,57,260
2020,161.127,160,59,270
2021,166.630999999999,165,61,287
2022,171.621000000001,169,62,297
2023,176.097999999999,174,61,300
2024,179.815000000001,177,61,304
2025,183.612999999999,181,64,306
2026,186.235999999999,184,63,306
2027,188.317000000001,188,60,306
2028,190.487999999999,190,61,304
2029,191.995000000001,193,64,304
2030,193.047000000001,196,61,302
2031,193.993000000001,198,62,302
2032,195.144,201,63,300
2033,195.377,204,66,301
2034,194.762000000001,202,64,298
2035,194.622000000001,203.5,60,293
2036,194.126,204,63,290
2037,193.48,205,64,288
2038,192.911,205,64,286
2039,192.856,203.5,61,286
2040,193.052,206,63,286
2041,193.068000000001,204,65,284
2042,193.149999999999,206,61,285
2043,192.587,204.5,62,283
2044,192.313000000001,204,64,282
2045,192.759000000001,204.5,66,287
