"year","mean","median","lcl","ucl"
2015,80.732,80,36,128
2016,83.0809999999999,81,38,134
2017,87.232,85,38,141
2018,93.0160000000003,91,40,151
2019,97.0770000000004,94,39,161
2020,101.124,98,43,174
2021,105.071,102,43,181
2022,108.726,105,45,188
2023,111.860999999999,107,44,193
2024,114.39,111,42,196
2025,116.124,113,47,193
2026,118.327,116,44,192
2027,119.907000000001,117,43,196
2028,121.161,119,43,196
2029,121.802,121.5,45,192
2030,123.259000000001,123,46,195
2031,123.553,125,46,194
2032,123.811,127,47,190
2033,123.524,128,46,188
2034,123.792,129,45,187
2035,123.931,130,47,186
2036,124.209,130,46,189
2037,124.318,130.5,45,186
2038,124.724,131.5,48,187
2039,124.585000000001,130,47,186
2040,124.649,130,45,186
2041,124.095,130,46,184
2042,124.077,131,45,182
2043,124.255,132,47,184
2044,125.133,132,49,187
2045,125.432999999999,132,49,185
