"year","mean","median","lcl","ucl"
2015,1,1,1,1
2016,1,1,1,1
2017,1,1,1,1
2018,1,1,1,1
2019,0.99,1,1,1
2020,1,1,1,1
2021,1,1,1,1
2022,0.99,1,1,1
2023,0.99,1,1,1
2024,0.99,1,1,1
2025,0.98,1,1,1
2026,0.99,1,1,1
2027,0.97,1,1,1
2028,1,1,1,1
2029,0.99,1,1,1
2030,0.98,1,1,1
2031,0.94,1,0,1
2032,0.96,1,1,1
2033,0.96,1,1,1
2034,0.95,1,0,1
2035,0.95,1,0,1
2036,0.93,1,0,1
2037,0.94,1,0,1
2038,0.94,1,0,1
2039,0.96,1,1,1
2040,0.92,1,0,1
2041,0.93,1,0,1
2042,0.94,1,0,1
2043,0.94,1,0,1
2044,0.93,1,0,1
2045,0.9,1,0,1
