"year","mean","median","lcl","ucl"
2015,0.998,1,1,1
2016,0.996,1,1,1
2017,0.995,1,1,1
2018,0.994,1,1,1
2019,0.992,1,1,1
2020,0.991,1,1,1
2021,0.989,1,1,1
2022,0.985,1,1,1
2023,0.991,1,1,1
2024,0.986,1,1,1
2025,0.979,1,1,1
2026,0.98,1,1,1
2027,0.98,1,1,1
2028,0.978,1,1,1
2029,0.971,1,1,1
2030,0.968,1,1,1
2031,0.967,1,1,1
2032,0.966,1,1,1
2033,0.959999999999999,1,1,1
2034,0.962,1,1,1
2035,0.968,1,1,1
2036,0.963,1,1,1
2037,0.956,1,1,1
2038,0.956,1,1,1
2039,0.940999999999999,1,0,1
2040,0.948,1,0,1
2041,0.940000000000001,1,0,1
2042,0.943,1,0,1
2043,0.928999999999999,1,0,1
2044,0.928999999999999,1,0,1
2045,0.928999999999999,1,0,1
