"year","mean","median","lcl","ucl"
2015,54973.069,54978.5,51596,58265
2016,55208.443,55731.5,48112,57834
2017,55844.263,56912,48136,58546
2018,56165.165,57285.5,49290,59032
2019,56009.162,57179,49504,59134
2020,55801.531,56816.5,49314,58959
2021,55348.35,56253.5,48807,58657
2022,54920.455,55784.5,48514,58416
2023,54417.361,55289.5,47291,58079
2024,53943.675,54774,47163,57854
2025,53457.37,54268,46503,57564
2026,53026.636,53889,45730,57285
2027,52772.309,53446,46060,57021
2028,52368.882,53037.5,45362,56882
2029,52115.724,52782.5,45057,56620
2030,51828.089,52470.5,44538,56408
2031,51579.02,52126,44691,56198
2032,51220.409,51862,43746,56048
2033,50984.885,51425.5,43622,55807
2034,50666.25,51036,43529,55657
2035,50477.354,50809.5,43387,55466
2036,50360.635,50687.5,42717,55305
2037,50262.534,50627,43234,55273
2038,50042.232,50483,42575,55179
2039,49947.753,50371.5,42803,55070
2040,49800.923,50263,42332,54877
2041,49670.493,50174.5,42193,54858
2042,49637.222,50053,42420,54748
2043,49552.048,49959.5,42175,54731
2044,49541.236,49974.5,42048,54711
2045,49412.439,49905.5,42179,54644
