"year","mean","median","lcl","ucl"
2015,5796.182,5856,5090,6108
2016,5641.856,5756,4764,5937
2017,5539.778,5682,4737,5846
2018,5437.438,5601,4605,5787
2019,5347.03600000001,5511.5,4502,5734
2020,5274.975,5425.5,4393,5684
2021,5189.778,5337,4341,5636
2022,5120.549,5255.5,4274,5583
2023,5030.72699999999,5164,4129,5535
2024,4957.179,5081,3976,5490
2025,4879.942,5002,3924,5449
2026,4820.541,4935,3871,5411
2027,4759.52,4864,3853,5387
2028,4705.391,4782.5,3811,5349
2029,4633.95799999999,4722,3661,5319
2030,4577.22400000001,4651.5,3624,5291
2031,4545.864,4611.5,3547,5269
2032,4515.10700000001,4588,3436,5250
2033,4485.818,4538.5,3478,5229
2034,4453.196,4486.5,3457,5200
2035,4425.883,4481.5,3367,5186
2036,4403.609,4457,3383,5175
2037,4365.979,4430,3291,5143
2038,4348.80599999999,4402,3350,5111
2039,4328.837,4369,3318,5098
2040,4325.375,4357.5,3328,5089
2041,4298.775,4335.5,3313,5068
2042,4282.146,4323.5,3271,5056
2043,4260.471,4306,3265,5050
2044,4249.209,4303.5,3191,5038
2045,4234.23700000001,4292.5,3232,5022
