"year","mean","median","lcl","ucl"
2015,131.226,133,54,209
2016,133.667,134,56,213
2017,139.176,139.5,54,221
2018,146.335000000001,147,54,237
2019,152.877999999999,151.5,57,252
2020,159.175000000001,158,61,263
2021,164.870000000001,164,57,281
2022,169.939000000001,167,59,292
2023,174.857,172,61,300
2024,178.637000000001,178.5,60,305
2025,181.665999999999,181,60,306
2026,185.490999999999,184,61,306
2027,188.387000000001,184,63,309
2028,190.731,190,62,304
2029,192.453999999999,194,64,301
2030,193.376,197,64,301
2031,193.450999999999,198,62,301
2032,194.255999999999,200,68,298
2033,194.813000000001,204,67,296
2034,194.628999999999,204,67,292
2035,194.345999999999,203,66,292
2036,194.179,204,68,289
2037,194.713,204,69,292
2038,194.463,204,69,293
2039,194.502999999999,204,69,290
2040,195.030000000001,207,68,288
2041,194.829999999999,209,68,287
2042,194.286,209,67,284
2043,194.108,210,66,285
2044,193.974000000001,210,70,279
2045,193.992000000001,207,63,283
