"year","mean","median","lcl","ucl"
2015,80.9780000000004,81,37,127
2016,83.1989999999998,82,38,132
2017,87.3859999999996,86.5,39,137
2018,92.7040000000002,92,42,147
2019,97.1639999999996,95,43,158
2020,101.435,100,44,167
2021,105.588,103,44,177
2022,110.247,108,46,188
2023,113.19,111,46,190
2024,115.395,111,45,196
2025,117.84,115,49,195
2026,119.603000000001,117,48,195
2027,121.355,120,47,197
2028,123.072,122,48,199
2029,124.377,125,50,197
2030,125.101,125,52,197
2031,125.408,126,52,195
2032,125.543,128,51,191
2033,125.899,129,52,191
2034,126.025,130,51,186
2035,126.256,132,53,187
2036,126.414999999999,130.5,51,188
2037,126.248,132,52,188
2038,126.021999999999,133,53,185
2039,126.057999999999,134,51,182
2040,126.014000000001,134.5,52,183
2041,126.365,134,51,183
2042,126.828,133.5,52,183
2043,126.578,135,52,184
2044,126.716,133,52,182
2045,127.246000000001,135,53,185
