"year","mean","median","lcl","ucl"
2015,0.201548387096774,0.193548387096774,0.0967741935483871,0.32258064516129
2016,0.0817741935483875,0.0645161290322581,0,0.161290322580645
2017,0.111258064516129,0.129032258064516,0,0.193548387096774
2018,0.149290322580645,0.161290322580645,0,0.258064516129032
2019,0.164806451612903,0.161290322580645,0,0.258064516129032
2020,0.169548387096774,0.193548387096774,0.032258064516129,0.290322580645161
2021,0.168451612903226,0.161290322580645,0.032258064516129,0.290322580645161
2022,0.166064516129032,0.161290322580645,0.032258064516129,0.290322580645161
2023,0.159,0.161290322580645,0.032258064516129,0.290322580645161
2024,0.153903225806451,0.161290322580645,0.032258064516129,0.258064516129032
2025,0.154032258064516,0.161290322580645,0,0.290322580645161
2026,0.142903225806451,0.129032258064516,0,0.258064516129032
2027,0.141709677419355,0.129032258064516,0,0.258064516129032
2028,0.138903225806452,0.129032258064516,0.032258064516129,0.258064516129032
2029,0.134193548387097,0.129032258064516,0,0.258064516129032
2030,0.131161290322581,0.129032258064516,0,0.258064516129032
2031,0.125096774193549,0.129032258064516,0,0.258064516129032
2032,0.122612903225806,0.129032258064516,0,0.258064516129032
2033,0.121580645161291,0.0967741935483871,0,0.258064516129032
2034,0.118,0.0967741935483871,0,0.258064516129032
2035,0.118354838709678,0.0967741935483871,0.032258064516129,0.258064516129032
2036,0.111935483870968,0.0967741935483871,0,0.225806451612903
2037,0.107225806451613,0.0967741935483871,0,0.225806451612903
2038,0.104967741935484,0.0967741935483871,0,0.225806451612903
2039,0.103967741935484,0.0967741935483871,0,0.225806451612903
2040,0.101548387096774,0.0967741935483871,0,0.225806451612903
2041,0.101193548387097,0.0967741935483871,0,0.225806451612903
2042,0.0999999999999997,0.0967741935483871,0,0.225806451612903
2043,0.100258064516129,0.0967741935483871,0,0.225806451612903
2044,0.0992580645161293,0.0967741935483871,0,0.225806451612903
2045,0.0991612903225811,0.0967741935483871,0,0.225806451612903
