"year","mean","median","lcl","ucl"
2015,0.998,1,1,1
2016,0.998,1,1,1
2017,0.996,1,1,1
2018,0.995,1,1,1
2019,0.99,1,1,1
2020,0.99,1,1,1
2021,0.986,1,1,1
2022,0.987,1,1,1
2023,0.989,1,1,1
2024,0.985,1,1,1
2025,0.979,1,1,1
2026,0.978,1,1,1
2027,0.972,1,1,1
2028,0.97,1,1,1
2029,0.972,1,1,1
2030,0.959999999999999,1,1,1
2031,0.964,1,1,1
2032,0.955000000000001,1,1,1
2033,0.945,1,0,1
2034,0.943999999999999,1,0,1
2035,0.936,1,0,1
2036,0.937999999999999,1,0,1
2037,0.937999999999999,1,0,1
2038,0.943,1,0,1
2039,0.936,1,0,1
2040,0.933,1,0,1
2041,0.925000000000001,1,0,1
2042,0.925999999999999,1,0,1
2043,0.934000000000001,1,0,1
2044,0.921,1,0,1
2045,0.924,1,0,1
