"year","mean","median","lcl","ucl"
2015,55140.248,55136,51539,58509
2016,55326.978,55871,48690,57977
2017,55972.832,56929,48423,58535
2018,56173.146,57293,49124,58932
2019,55868.274,57042,49192,58921
2020,55456.803,56577.5,48349,58711
2021,55028.383,56095,48380,58403
2022,54681.356,55662.5,47978,58160
2023,54242.917,55204.5,47340,57821
2024,53859.81,54686.5,47531,57531
2025,53343.445,54202,45589,57220
2026,52803.641,53699.5,45389,56873
2027,52489.859,53301.5,45111,56511
2028,52177.746,52878,45349,56240
2029,51801.075,52599,44798,55980
2030,51539.945,52268.5,44046,55889
2031,51069.899,51646.5,43563,55727
2032,50749.082,51295,43488,55420
2033,50558.875,50980,43488,55264
2034,50269.213,50783.5,43526,55086
2035,50118.363,50506,43103,54798
2036,49862.705,50195,42746,54544
2037,49552.905,50024,42177,54407
2038,49338.422,49694,42130,54320
2039,49098.358,49541.5,41944,54139
2040,48899.989,49369.5,41420,53909
2041,48694.698,49112.5,41636,53754
2042,48463.51,48995,41194,53529
2043,48336.3059999999,48811,41071,53415
2044,48130.303,48693.5,40615,53163
2045,47972.548,48571,40672,53020
