"year","mean","median","lcl","ucl"
2015,5783.28,5854,4973,6095
2016,5617.239,5740,4765,5911
2017,5498.473,5666,4647,5807
2018,5392.409,5571.5,4552,5731
2019,5300.591,5470.5,4508,5660
2020,5197.587,5367.5,4372,5595
2021,5097.995,5259,4244,5530
2022,5020.666,5161.5,4195,5470
2023,4932.82200000001,5063,3998,5414
2024,4844.092,4963,3963,5360
2025,4756.683,4884.5,3844,5300
2026,4700.76700000001,4815,3823,5264
2027,4651.475,4751,3740,5229
2028,4598.991,4703,3675,5204
2029,4543.20500000001,4633.5,3542,5173
2030,4489.459,4572,3520,5141
2031,4440.66199999999,4513.5,3472,5108
2032,4396.405,4457,3536,5086
2033,4362.80599999999,4415.5,3433,5065
2034,4326.978,4367,3398,5038
2035,4302.31999999999,4339.5,3413,5016
2036,4275.241,4313,3378,4994
2037,4242.04799999999,4283,3342,4971
2038,4202.94400000001,4225,3258,4932
2039,4174.37,4203.5,3258,4897
2040,4141.116,4166.5,3228,4867
2041,4116.029,4134.5,3228,4831
2042,4081.617,4113.5,3248,4794
2043,4059.636,4098,3202,4759
2044,4040.93899999999,4073.5,3148,4733
2045,4012.37,4042.5,3187,4714
