"year","mean","median","lcl","ucl"
2015,131.824,131,57,216
2016,134.34,133,56,220
2017,140.242000000001,137.5,57,226
2018,147.43,143,61,244
2019,154.471999999999,151,61,260
2020,160.316000000001,156,62,268
2021,165.857,161,63,282
2022,171.322,166,67,292
2023,176.284,171,66,302
2024,180.25,176,65,308
2025,183.565000000001,179.5,67,307
2026,185.916999999999,182,68,306
2027,187.268,185,69,307
2028,188.538,187.5,68,303
2029,190.208000000001,190,70,298
2030,191.528000000001,192,72,298
2031,191.166999999999,194,73,295
2032,191.913999999999,194,74,294
2033,192.48,196,76,294
2034,192.972999999999,199,75,291
2035,193.324,200,76,292
2036,193.172000000001,201.5,73,292
2037,193.035,201,72,289
2038,192.596999999999,200,73,286
2039,192.206000000001,199,76,285
2040,192.017,199,75,282
2041,191.716,199,76,284
2042,191.510000000001,198.5,73,283
2043,191.706000000001,199,74,280
2044,191.531,202,77,282
2045,191.324999999999,201,76,281
