"year","mean","median","lcl","ucl"
2015,80.9119999999998,81,36,127
2016,83.1660000000004,83,37,132
2017,87.3489999999999,87,40,140
2018,93.0170000000002,92,40,149
2019,98.3219999999999,98,41,160
2020,102.552,101,39,170
2021,106.801,104,42,179
2022,110.051,108,42,187
2023,112.807999999999,109,42,191
2024,116.014000000001,114,41,196
2025,117.821,114,41,196
2026,119.69,118,41,199
2027,120.881,121,42,196
2028,122.648,124,43,193
2029,123.614999999999,126,42,195
2030,124.833,127,42,195
2031,126.023,128,43,195
2032,126.273,131,44,195
2033,126.495,131,44,193
2034,126.670000000001,130,43,190
2035,126.423,133,43,190
2036,126.624,133,44,188
2037,127.087,134,46,190
2038,126.847,134,44,189
2039,126.534,134,42,186
2040,126.562,134.5,42,186
2041,126.33,133,43,184
2042,125.773,133,42,181
2043,126.064,135,42,183
2044,126.158,134,42,182
2045,125.626,134,43,183
