"year","mean","median","lcl","ucl"
2015,0.64,1,0,1
2016,0.16,0,0,1
2017,0.35,0,0,1
2018,0.39,0,0,1
2019,0.26,0,0,1
2020,0.19,0,0,1
2021,0.25,0,0,1
2022,0.17,0,0,1
2023,0.17,0,0,1
2024,0.15,0,0,1
2025,0.11,0,0,1
2026,0.11,0,0,1
2027,0.11,0,0,1
2028,0.06,0,0,1
2029,0.08,0,0,1
2030,0.09,0,0,1
2031,0.04,0,0,0
2032,0.03,0,0,0
2033,0.07,0,0,1
2034,0.04,0,0,0
2035,0.07,0,0,1
2036,0.06,0,0,1
2037,0.05,0,0,0
2038,0.07,0,0,1
2039,0.09,0,0,1
2040,0.05,0,0,0
2041,0.04,0,0,0
2042,0.06,0,0,1
2043,0.04,0,0,0
2044,0.04,0,0,0
2045,0.05,0,0,0
