"year","mean","median","lcl","ucl"
2015,0.659000000000002,1,0,1
2016,0.224000000000002,0,0,1
2017,0.405999999999996,0,0,1
2018,0.400999999999996,0,0,1
2019,0.323999999999996,0,0,1
2020,0.269999999999997,0,0,1
2021,0.233999999999999,0,0,1
2022,0.226999999999998,0,0,1
2023,0.182,0,0,1
2024,0.173999999999997,0,0,1
2025,0.139000000000001,0,0,1
2026,0.116999999999999,0,0,1
2027,0.109000000000001,0,0,1
2028,0.113999999999999,0,0,1
2029,0.0910000000000008,0,0,1
2030,0.100000000000001,0,0,1
2031,0.089000000000001,0,0,1
2032,0.0860000000000011,0,0,1
2033,0.0760000000000002,0,0,1
2034,0.0710000000000007,0,0,1
2035,0.0740000000000007,0,0,1
2036,0.0749999999999987,0,0,1
2037,0.064,0,0,1
2038,0.065999999999999,0,0,1
2039,0.0569999999999995,0,0,1
2040,0.065999999999999,0,0,1
2041,0.0669999999999998,0,0,1
2042,0.0680000000000008,0,0,1
2043,0.064,0,0,1
2044,0.0509999999999998,0,0,1
2045,0.0490000000000004,0,0,0
