"year","mean","median","lcl","ucl"
2015,55071.61,54978.5,51693,58408
2016,55053.583,55659,47207,58025
2017,55570.139,56886.5,47785,58608
2018,56040.072,57576,49070,58935
2019,55855.533,57488,48977,58962
2020,55803.524,57133.5,49333,58747
2021,55352.293,56738,47953,58409
2022,55105.285,56342,48572,58043
2023,54751.723,55919,48541,57723
2024,54493.441,55578.5,47848,57369
2025,54110.387,55159.5,47793,57015
2026,53727.298,54859.5,47559,56694
2027,53383.213,54462.5,47230,56355
2028,53142.75,54173,47157,56098
2029,52990.287,53890.5,46945,55850
2030,52693.705,53645,46846,55613
2031,52357.232,53346,46172,55356
2032,52100.386,53060,45723,55165
2033,51841.42,52787.5,45822,54876
2034,51586.456,52586.5,45151,54680
2035,51416.791,52387.5,45537,54441
2036,51158.435,52128,45391,54190
2037,50865.468,51829.5,44775,53964
2038,50685.855,51573.5,44508,53693
2039,50394.837,51431.5,44044,53476
2040,50177.303,51273,43756,53247
2041,50090.828,51090.5,44179,53056
2042,49989.877,50878,44165,52929
2043,49722.345,50721.5,43474,52770
2044,49552.385,50542,43294,52593
2045,49384.381,50350,43384,52398
