"year","mean","median","lcl","ucl"
2015,5764.411,5839,4950,6091
2016,5590.054,5725,4731,5908
2017,5472.751,5651.5,4654,5804
2018,5355.703,5565,4566,5726
2019,5270.222,5482.5,4385,5653
2020,5177.729,5383.5,4279,5583
2021,5099.58,5275.5,4293,5510
2022,5027.762,5185,4205,5438
2023,4955.938,5099,4099,5373
2024,4876.45,5022,4026,5305
2025,4805.971,4948,3991,5240
2026,4760.23,4898.5,3865,5198
2027,4712.725,4834.5,3832,5157
2028,4674.454,4803,3836,5123
2029,4643.597,4769,3875,5086
2030,4608.162,4737.5,3723,5054
2031,4566.814,4696.5,3712,5020
2032,4526.567,4634.5,3797,4988
2033,4504.721,4594,3746,4953
2034,4477.179,4563,3686,4920
2035,4436.429,4537.5,3610,4892
2036,4411.142,4520,3639,4859
2037,4383.022,4485,3630,4832
2038,4351.986,4456,3607,4797
2039,4318.55500000001,4416.5,3548,4770
2040,4292.298,4394,3551,4736
2041,4270.06,4357.5,3521,4704
2042,4252.823,4335.5,3542,4672
2043,4220.645,4301.5,3508,4641
2044,4197.524,4288.5,3506,4611
2045,4164.287,4257,3465,4580
