"year","mean","median","lcl","ucl"
2015,0.299063304317725,0.304235768713581,0.255102040816327,0.325966850828729
2016,0.302145054694653,0.30196380438968,0.240963855421687,0.366666666666667
2017,0.296307985804657,0.297520661157025,0.230769230769231,0.358974358974359
2018,0.290545720025987,0.291235463565561,0.227722772277228,0.352272727272727
2019,0.286491678017769,0.285714285714286,0.219512195121951,0.353982300884956
2020,0.280988035011839,0.279690648334716,0.213114754098361,0.352272727272727
2021,0.27604778778062,0.273928976529099,0.209090909090909,0.348837209302326
2022,0.271956595459205,0.272727272727273,0.202380952380952,0.346534653465347
2023,0.266743204681524,0.263565891472868,0.197530864197531,0.340425531914894
2024,0.261868791059623,0.258905910079768,0.196261682242991,0.337662337662338
2025,0.256719745811265,0.252942805705581,0.189189189189189,0.338461538461538
2026,0.252349329384495,0.25,0.1875,0.333333333333333
2027,0.249501415672694,0.246153846153846,0.183333333333333,0.333333333333333
2028,0.246707603954786,0.242887001078749,0.18,0.323529411764706
2029,0.244892275305086,0.241379310344828,0.175,0.337662337662338
2030,0.241203979117222,0.236918162458169,0.174311926605505,0.325581395348837
2031,0.237373592813025,0.234630889392794,0.168831168831169,0.32
2032,0.235987789873137,0.230769230769231,0.166666666666667,0.31578947368421
2033,0.234542420059376,0.230769230769231,0.167664670658683,0.32
2034,0.231414179392611,0.225946704067321,0.167785234899329,0.32
2035,0.231020296039051,0.227272727272727,0.163636363636364,0.314285714285714
2036,0.229040181011217,0.224489795918367,0.16,0.307692307692308
2037,0.227252177004225,0.225806451612903,0.156862745098039,0.305084745762712
2038,0.225476811784169,0.222222222222222,0.15625,0.317365269461078
2039,0.224817878781443,0.220062893081761,0.157142857142857,0.304347826086957
2040,0.22329886231785,0.217996915365336,0.162162162162162,0.304347826086957
2041,0.222417826397363,0.21969696969697,0.157894736842105,0.31578947368421
2042,0.222121683265014,0.218570402298851,0.15,0.311475409836066
2043,0.219109086231425,0.217781858831044,0.153284671532847,0.295
2044,0.218531473585265,0.218245838668374,0.152173913043478,0.295774647887324
2045,0.218492092773484,0.218350331876315,0.152542372881356,0.294117647058824
