"year","mean","median","lcl","ucl"
2015,0.00700000000000012,0,0,0
2016,0.00899999999999984,0,0,0
2017,0.00899999999999984,0,0,0
2018,0.0110000000000001,0,0,0
2019,0.0110000000000001,0,0,0
2020,0.0140000000000002,0,0,0
2021,0.0130000000000001,0,0,0
2022,0.0179999999999997,0,0,0
2023,0.0179999999999997,0,0,0
2024,0.016,0,0,0
2025,0.0140000000000002,0,0,0
2026,0.0140000000000002,0,0,0
2027,0.0170000000000002,0,0,0
2028,0.0179999999999997,0,0,0
2029,0.0230000000000002,0,0,0
2030,0.0269999999999998,0,0,0
2031,0.0269999999999998,0,0,0
2032,0.0200000000000003,0,0,0
2033,0.024,0,0,0
2034,0.0250000000000003,0,0,0
2035,0.032,0,0,0
2036,0.0340000000000004,0,0,0
2037,0.0329999999999995,0,0,0
2038,0.0380000000000002,0,0,0
2039,0.0440000000000005,0,0,0
2040,0.0400000000000007,0,0,0
2041,0.0430000000000006,0,0,0
2042,0.048,0,0,0
2043,0.0530000000000006,0,0,1
2044,0.0530000000000006,0,0,1
2045,0.0530000000000006,0,0,1
