"year","mean","median","lcl","ucl"
2015,134.27,134,61,212
2016,120.697,119,54,192
2017,117.511,117,52,189
2018,115.938,114,52,187
2019,114.067000000001,112,49,187
2020,112.141,109.5,47,186
2021,109.967,107,45,183
2022,107.891,106,43,183
2023,105.834,102,40,181
2024,103.833,100,39,182
2025,102.512,98,36,182
2026,100.965,97.5,36,182
2027,99.3789999999994,95,35,184
2028,98.1839999999999,94,33,182
2029,97.5840000000001,93,31,179
2030,96.3229999999997,92,31,176
2031,95.411,90.5,29,174
2032,94.8150000000004,90,27,175
2033,94.3360000000005,90,25,175
2034,93.8320000000004,91,23,175
2035,93.3239999999996,89,22,173
2036,92.8890000000006,89,22,174
2037,92.4729999999993,90,20,172
2038,92.0079999999994,91,21,171
2039,91.7579999999994,90,19,172
2040,91.6269999999996,90.5,19,171
2041,91.8900000000004,90.5,19,172
2042,91.6819999999995,90,19,171
2043,91.5769999999997,90,19,170
2044,92.0290000000004,91,18,170
2045,92.3789999999994,93,17,174
