"year","mean","median","lcl","ucl"
2015,81.0350000000001,80,37,126
2016,69.2809999999997,68,32,111
2017,67.1639999999998,67,30,107
2018,67.161,66,29,113
2019,66.8620000000003,65,29,110
2020,66.2570000000003,64,28,108
2021,65.5760000000004,64,27,109
2022,64.893,63,25,110
2023,64.0330000000002,62,24,108
2024,63.2210000000004,62,22,111
2025,62.286,60,22,111
2026,62.161,60,20,113
2027,61.3110000000002,58,21,115
2028,60.6559999999995,58,20,114
2029,60.3049999999998,57,19,114
2030,60.0999999999997,57,18,112
2031,59.4880000000003,57.5,18,108
2032,59.3339999999996,57,16,110
2033,59.2740000000003,57,16,111
2034,58.9559999999999,56,14,110
2035,58.9630000000002,57,13,110
2036,58.6189999999997,56,13,111
2037,58.5299999999997,56,13,108
2038,58.2290000000003,57,13,109
2039,58.0960000000004,57,12,107
2040,57.9289999999999,57,12,110
2041,58.1580000000003,58,12,109
2042,58.4579999999997,58,12,108
2043,58.3079999999994,58,12,107
2044,58.3609999999995,59,11,107
2045,58.7040000000002,58,10,109
