"year","mean","median","lcl","ucl"
2015,0.6,1,0,1
2016,0.22,0,0,1
2017,0.48,0,0,1
2018,0.54,1,0,1
2019,0.48,0,0,1
2020,0.41,0,0,1
2021,0.31,0,0,1
2022,0.32,0,0,1
2023,0.26,0,0,1
2024,0.24,0,0,1
2025,0.24,0,0,1
2026,0.18,0,0,1
2027,0.2,0,0,1
2028,0.19,0,0,1
2029,0.12,0,0,1
2030,0.22,0,0,1
2031,0.17,0,0,1
2032,0.13,0,0,1
2033,0.14,0,0,1
2034,0.12,0,0,1
2035,0.07,0,0,1
2036,0.09,0,0,1
2037,0.1,0,0,1
2038,0.11,0,0,1
2039,0.1,0,0,1
2040,0.15,0,0,1
2041,0.07,0,0,1
2042,0.11,0,0,1
2043,0.06,0,0,1
2044,0.1,0,0,1
2045,0.07,0,0,1
