"year","mean","median","lcl","ucl"
2015,0.653000000000002,1,0,1
2016,0.214000000000001,0,0,1
2017,0.469000000000004,0,0,1
2018,0.465999999999997,0,0,1
2019,0.396000000000006,0,0,1
2020,0.327000000000002,0,0,1
2021,0.296000000000001,0,0,1
2022,0.275999999999997,0,0,1
2023,0.242000000000002,0,0,1
2024,0.216,0,0,1
2025,0.208999999999997,0,0,1
2026,0.195000000000004,0,0,1
2027,0.142000000000001,0,0,1
2028,0.151000000000001,0,0,1
2029,0.116,0,0,1
2030,0.124000000000001,0,0,1
2031,0.110999999999999,0,0,1
2032,0.0929999999999978,0,0,1
2033,0.0809999999999984,0,0,1
2034,0.0760000000000002,0,0,1
2035,0.0770000000000007,0,0,1
2036,0.0620000000000008,0,0,1
2037,0.0689999999999988,0,0,1
2038,0.064,0,0,1
2039,0.073,0,0,1
2040,0.0530000000000006,0,0,1
2041,0.0590000000000008,0,0,1
2042,0.0590000000000008,0,0,1
2043,0.0509999999999998,0,0,1
2044,0.0550000000000003,0,0,1
2045,0.0410000000000003,0,0,0
