"year","mean","median","lcl","ucl"
2015,5771.23,5844.5,4958,6087
2016,5698.833,5854,4833,6019
2017,5687.197,5886,4833,6029
2018,5656.157,5883.5,4726,6040
2019,5622.335,5850,4655,6043
2020,5592.74,5806,4621,6035
2021,5564.66100000001,5755.5,4567,6020
2022,5524.593,5705,4585,5993
2023,5473.677,5649,4487,5963
2024,5410.79,5595.5,4366,5931
2025,5333.937,5509.5,4293,5881
2026,5225.51200000001,5376,4234,5782
2027,5135.23700000001,5269.5,4076,5710
2028,5071.55500000001,5208.5,4139,5636
2029,5018.50400000001,5155.5,3984,5586
2030,4962.81999999999,5113,3965,5526
2031,4919.011,5070.5,3968,5475
2032,4894.133,5035,3976,5425
2033,4854.355,5015,3831,5391
2034,4833.75699999999,4965,3931,5354
2035,4799.126,4949,3791,5322
2036,4776.56100000001,4909,3853,5290
2037,4754.082,4894.5,3849,5255
2038,4735.619,4861,3839,5222
2039,4713.168,4846,3862,5183
2040,4687.489,4826.5,3786,5154
2041,4650.491,4797.5,3739,5131
2042,4622.864,4764,3756,5102
2043,4600.874,4738,3713,5069
2044,4569.12900000001,4706,3701,5042
2045,4545.93000000001,4671,3701,5013
