"year","mean","median","lcl","ucl"
2015,0.452034317026666,0.455471463376704,0.397849462365591,0.495327102803738
2016,0.4231198454054,0.421052631578947,0.350877192982456,0.5
2017,0.405068087220859,0.402877697841727,0.333333333333333,0.482758620689655
2018,0.399040729929887,0.398008718050327,0.326241134751773,0.476190476190476
2019,0.393803811665392,0.391752577319588,0.316770186335404,0.476190476190476
2020,0.391358573598509,0.3900372054568,0.313253012048193,0.472222222222222
2021,0.388996003399929,0.38676399026764,0.308411214953271,0.475247524752475
2022,0.378916226933578,0.377842377260982,0.297297297297297,0.466257668711656
2023,0.372498786795609,0.371428571428571,0.285714285714286,0.455882352941176
2024,0.367072518797144,0.36552812858783,0.276595744680851,0.467289719626168
2025,0.361873713746383,0.357327905255366,0.267605633802817,0.456521739130435
2026,0.359417930450064,0.357142857142857,0.262135922330097,0.462686567164179
2027,0.354981319024444,0.350970511384845,0.258823529411765,0.458333333333333
2028,0.347764786375908,0.345974119338605,0.257731958762887,0.44
2029,0.346020563341702,0.344086021505376,0.25,0.446601941747573
2030,0.34199823819951,0.340103092783505,0.25,0.443181818181818
2031,0.338386257904957,0.333333333333333,0.25,0.442307692307692
2032,0.33327766233934,0.329728781856441,0.24,0.431372549019608
2033,0.331072692702793,0.328986492226659,0.236111111111111,0.433333333333333
2034,0.327278598741537,0.327509917607568,0.230769230769231,0.425925925925926
2035,0.324678663523911,0.321320346320346,0.225,0.43010752688172
2036,0.331325803724281,0.326827875095202,0.232142857142857,0.440366972477064
2037,0.32940158952627,0.325252228425899,0.232142857142857,0.44
2038,0.327784297183157,0.32520325203252,0.233333333333333,0.425
2039,0.32931811234339,0.325712045989025,0.235294117647059,0.431372549019608
2040,0.324380083875491,0.322401433691756,0.227272727272727,0.426966292134831
2041,0.320724754754295,0.318431568431568,0.222222222222222,0.428571428571429
2042,0.31470826953393,0.316436646601087,0.202380952380952,0.420560747663551
2043,0.315042365212346,0.314536075189033,0.212765957446809,0.419354838709677
2044,0.311343464677255,0.309315434250538,0.208333333333333,0.411764705882353
2045,0.311359314419975,0.311475409836066,0.210526315789474,0.416666666666667
