"year","mean","median","lcl","ucl"
2015,0.003,0,0,0
2016,0.00500000000000008,0,0,0
2017,0.00500000000000008,0,0,0
2018,0.00799999999999999,0,0,0
2019,0.00899999999999984,0,0,0
2020,0.0100000000000002,0,0,0
2021,0.0130000000000001,0,0,0
2022,0.0100000000000002,0,0,0
2023,0.00799999999999999,0,0,0
2024,0.0110000000000001,0,0,0
2025,0.0130000000000001,0,0,0
2026,0.0170000000000002,0,0,0
2027,0.0200000000000003,0,0,0
2028,0.0179999999999997,0,0,0
2029,0.0220000000000003,0,0,0
2030,0.0260000000000002,0,0,0
2031,0.0299999999999996,0,0,0
2032,0.0340000000000004,0,0,0
2033,0.0310000000000004,0,0,0
2034,0.035,0,0,0
2035,0.0370000000000004,0,0,0
2036,0.0340000000000004,0,0,0
2037,0.0400000000000007,0,0,0
2038,0.0430000000000006,0,0,0
2039,0.0440000000000005,0,0,0
2040,0.0509999999999998,0,0,1
2041,0.0539999999999997,0,0,1
2042,0.0569999999999995,0,0,1
2043,0.0569999999999995,0,0,1
2044,0.0590000000000008,0,0,1
2045,0.061,0,0,1
