"year","mean","median","lcl","ucl"
2015,134.324999999999,135,58,212
2016,121.077,121,54,191
2017,117.999,117,52,188
2018,115.994,115,48,186
2019,113.405,112,45,185
2020,110.985999999999,109,44,181
2021,108.294,106,42,180
2022,105.258,102,40,175
2023,103.15,102,39,177
2024,101.765,100,36,173
2025,99.5460000000002,96,35,173
2026,97.1700000000003,94,32,171
2027,95.2509999999998,93,30,167
2028,93.7280000000006,92,31,162
2029,92.225,90,29,165
2030,90.6439999999998,88,27,163
2031,89.607,86,26,161
2032,89.1600000000001,86,23,163
2033,88.5749999999995,86,23,161
2034,88.1420000000002,84,22,164
2035,87.5870000000003,84,20,164
2036,87.1580000000004,83,21,162
2037,86.7480000000004,83,18,164
2038,85.4659999999997,82.5,18,161
2039,84.9610000000005,83,18,159
2040,84.1400000000004,83,16,155
2041,83.4610000000005,83,16,158
2042,83.018,84,15,160
2043,82.7280000000006,82,15,156
2044,83.0239999999998,83,15,158
2045,82.8469999999995,83,14,157
