"year","mean","median","lcl","ucl"
2015,81.0870000000001,82,35,126
2016,69.1879999999999,69,30,108
2017,67.0260000000001,66,28,107
2018,67.3800000000003,66,29,108
2019,66.7359999999997,65,27,108
2020,65.6590000000003,65,26,110
2021,64.4010000000001,63,25,107
2022,63.3120000000001,62,23,109
2023,61.7519999999997,60,23,107
2024,61.5060000000002,60,21,104
2025,60.848,59,21,107
2026,59.7149999999999,58,19,105
2027,58.6130000000002,57,18,102
2028,57.8779999999998,56,18,103
2029,57.384,56,16,102
2030,56.6780000000001,55,17,102
2031,55.9029999999998,54,15,101
2032,55.6240000000002,53,14,100
2033,55.6590000000003,54,14,102
2034,55.4049999999997,53,13,103
2035,55.2300000000004,53,12,102
2036,55.2709999999997,53,12,103
2037,54.8030000000001,51,12,104
2038,54.4440000000002,53,11,104
2039,53.9160000000004,52,11,101
2040,53.5199999999996,52,10,98
2041,53.0850000000005,52,10,98
2042,52.8759999999998,53,10,102
2043,52.6240000000002,53,9,100
2044,52.7210000000004,53,9,99
2045,53.0260000000001,53,9,102
