"year","mean","median","lcl","ucl"
2015,0.201193548387097,0.193548387096774,0.0967741935483871,0.32258064516129
2016,0.0812580645161286,0.0645161290322581,0,0.161290322580645
2017,0.112548387096774,0.129032258064516,0,0.193548387096774
2018,0.151935483870968,0.161290322580645,0,0.258064516129032
2019,0.172870967741935,0.193548387096774,0.032258064516129,0.258064516129032
2020,0.174967741935484,0.193548387096774,0.032258064516129,0.290322580645161
2021,0.172645161290323,0.193548387096774,0.032258064516129,0.290322580645161
2022,0.170161290322581,0.193548387096774,0.032258064516129,0.290322580645161
2023,0.161774193548387,0.161290322580645,0,0.290322580645161
2024,0.156935483870968,0.161290322580645,0.032258064516129,0.258064516129032
2025,0.160677419354839,0.161290322580645,0.032258064516129,0.290322580645161
2026,0.147935483870968,0.161290322580645,0,0.258064516129032
2027,0.146935483870967,0.161290322580645,0.032258064516129,0.258064516129032
2028,0.142387096774194,0.129032258064516,0.032258064516129,0.258064516129032
2029,0.138258064516129,0.129032258064516,0,0.258064516129032
2030,0.135548387096774,0.129032258064516,0.032258064516129,0.258064516129032
2031,0.131032258064516,0.129032258064516,0.032258064516129,0.258064516129032
2032,0.128838709677419,0.129032258064516,0,0.258064516129032
2033,0.127354838709677,0.129032258064516,0,0.258064516129032
2034,0.12358064516129,0.129032258064516,0,0.258064516129032
2035,0.121612903225806,0.0967741935483871,0,0.258064516129032
2036,0.115677419354839,0.0967741935483871,0,0.258064516129032
2037,0.11241935483871,0.0967741935483871,0,0.258064516129032
2038,0.110225806451613,0.0967741935483871,0,0.225806451612903
2039,0.108354838709677,0.0967741935483871,0,0.225806451612903
2040,0.107161290322581,0.0967741935483871,0,0.258064516129032
2041,0.105225806451613,0.0967741935483871,0,0.225806451612903
2042,0.105774193548387,0.0967741935483871,0,0.225806451612903
2043,0.103677419354839,0.0967741935483871,0,0.225806451612903
2044,0.102709677419355,0.0967741935483871,0,0.225806451612903
2045,0.0990322580645159,0.0967741935483871,0,0.225806451612903
