"year","mean","median","lcl","ucl"
2015,0.995,1,1,1
2016,0.993,1,1,1
2017,0.997,1,1,1
2018,0.993,1,1,1
2019,0.986,1,1,1
2020,0.989,1,1,1
2021,0.989,1,1,1
2022,0.983,1,1,1
2023,0.981,1,1,1
2024,0.976,1,1,1
2025,0.98,1,1,1
2026,0.976,1,1,1
2027,0.975,1,1,1
2028,0.971,1,1,1
2029,0.963,1,1,1
2030,0.956,1,1,1
2031,0.958,1,1,1
2032,0.951,1,1,1
2033,0.956,1,1,1
2034,0.943,1,0,1
2035,0.945,1,0,1
2036,0.941,1,0,1
2037,0.942,1,0,1
2038,0.934,1,0,1
2039,0.939,1,0,1
2040,0.937,1,0,1
2041,0.934,1,0,1
2042,0.916,1,0,1
2043,0.928,1,0,1
2044,0.93,1,0,1
2045,0.916,1,0,1
