"year","mean","median","lcl","ucl"
2015,55061.698,55087.5,51867,58327
2016,55122.103,55698,47778,57682
2017,55822.072,56848.5,48376,58468
2018,56192.222,57365.5,49233,58935
2019,56139.484,57222,49517,59036
2020,55840.322,56920.5,48755,58889
2021,55505.579,56452.5,49123,58653
2022,55116.734,56022.5,48638,58401
2023,54818.786,55642.5,48431,58186
2024,54462.076,55267,48185,57915
2025,53954.773,54812,47064,57655
2026,53674.496,54399.5,47110,57415
2027,53241.259,53942.5,46588,57262
2028,52894.302,53592.5,46639,57119
2029,52598.965,53253,45234,56936
2030,52347.762,53047.5,45413,56754
2031,52139.403,52766,45374,56508
2032,51951.668,52451,45214,56428
2033,51698.672,52139.5,44897,56217
2034,51509.241,51910.5,44636,55963
2035,51268.645,51788,43988,55772
2036,51004.44,51447.5,43758,55598
2037,50736.411,51195.5,43814,55315
2038,50494.768,50932.5,43017,55187
2039,50309.249,50738,43419,54953
2040,50180.422,50443,43639,54789
2041,49911.908,50289.5,42703,54649
2042,49713.376,50142,42309,54428
2043,49437.778,49875.5,42056,54270
2044,49358.5489999999,49658.5,42637,54075
2045,49048.8190000001,49463,41614,53962
