"year","mean","median","lcl","ucl"
2015,5788.667,5845,5056,6091
2016,5626.959,5741,4741,5922
2017,5521.544,5670,4695,5823
2018,5428.555,5597,4597,5754
2019,5333.777,5503,4482,5695
2020,5250.854,5416.5,4413,5640
2021,5168.674,5326.5,4318,5594
2022,5101.707,5244.5,4275,5543
2023,5028.595,5151.5,4247,5492
2024,4942.726,5075,4087,5449
2025,4877.495,4993,4033,5402
2026,4811.73299999999,4908.5,3948,5378
2027,4758.016,4844.5,3912,5350
2028,4712.644,4800,3791,5331
2029,4672.62900000001,4745.5,3796,5308
2030,4638.15600000001,4706.5,3785,5284
2031,4607.215,4676,3762,5270
2032,4570.62300000001,4626,3710,5240
2033,4541.326,4580,3646,5210
2034,4511.653,4559.5,3564,5202
2035,4478.72699999999,4525,3532,5179
2036,4442.87900000001,4474,3555,5144
2037,4407.562,4438,3526,5127
2038,4378.025,4403,3501,5088
2039,4354.791,4360.5,3464,5069
2040,4317.36899999999,4332,3377,5043
2041,4286.669,4311,3384,5019
2042,4246.97699999999,4268.5,3397,4984
2043,4229.69700000001,4244.5,3373,4945
2044,4187.69499999999,4215.5,3292,4925
2045,4156.71599999999,4183,3269,4876
