"year","mean","median","lcl","ucl"
2015,133.771,135,58,213
2016,135.998,137,57,216
2017,141.88,141,59,227
2018,149.614999999999,151,62,242
2019,156.426,158,61,255
2020,162.184999999999,162,61,270
2021,167.189000000001,166,62,281
2022,172.239999999999,171,61,290
2023,177.034,174,62,297
2024,180.234,177.5,62,301
2025,183.118000000001,182.5,63,302
2026,185.261000000001,184,66,302
2027,187.630999999999,188,68,301
2028,189.655000000001,190.5,70,302
2029,191.304,194,69,301
2030,192.164999999999,198,67,303
2031,193.243000000001,198,67,302
2032,193.754999999999,199,66,299
2033,193.555,200,66,298
2034,193.357,200,65,296
2035,193.951999999999,202,65,298
2036,193.753999999999,201,64,294
2037,194.43,204,65,293
2038,194.604000000001,202,67,290
2039,194.634000000001,203,69,293
2040,194.631999999999,204,69,291
2041,194.921000000001,208,67,287
2042,194.641,207,69,284
2043,194.145,207,68,286
2044,195.384000000001,207,69,286
2045,196.143,207,70,287
