"year","mean","median","lcl","ucl"
2015,80.8049999999998,81,37,126
2016,82.7699999999996,82,36,132
2017,87.0140000000005,87,39,139
2018,93.1369999999996,93,40,148
2019,97.5,97,39,160
2020,101.878,101,39,170
2021,105.951000000001,102,42,179
2022,109.286,106,40,189
2023,111.821,109,42,188
2024,115.14,111,43,193
2025,117.198,113.5,44,196
2026,119.051,116,45,195
2027,120.773,119,46,194
2028,122.248,122,47,196
2029,123.036,124,45,194
2030,123.811,126,48,192
2031,124.376,126,46,193
2032,125.256,127.5,46,193
2033,124.962,128,47,190
2034,125.733,131,48,190
2035,125.989,130,46,191
2036,126.490999999999,132,47,190
2037,126.514000000001,131.5,46,189
2038,126.372,132,48,186
2039,126.503999999999,133,50,186
2040,126.477,133.5,47,188
2041,126.207,133,49,184
2042,126.331,134,48,184
2043,126.539999999999,134,50,184
2044,126.48,135,50,184
2045,126.664,135,46,186
