"year","mean","median","lcl","ucl"
2015,55060.419,55030,51789,58396
2016,54850.756,55671,46585,57880
2017,55235.029,56722,47465,58629
2018,55708.809,57158,48398,59051
2019,55635.622,56941,48161,59105
2020,55376.913,56543.5,48019,58915
2021,54870.257,56027.5,47762,58661
2022,54359.292,55494.5,46841,58453
2023,53910.404,54999,46027,58162
2024,53413.599,54504,45001,58009
2025,53057.591,54096.5,44818,57797
2026,52794.474,53750,45105,57681
2027,52440.173,53299.5,44442,57445
2028,52171.44,53001,44433,57147
2029,51815.686,52834,43996,56936
2030,51486.687,52525,43785,56754
2031,51225.9039999999,52137.5,42790,56542
2032,50828.288,51635.5,42678,56372
2033,50539.729,51423,41733,56264
2034,50404.979,51167.5,42097,56160
2035,50098.5489999999,50915,41958,55911
2036,49942.884,50736.5,42519,55647
2037,49722.757,50508,41651,55485
2038,49379.974,50210.5,41259,55273
2039,49144.367,49923.5,41363,55052
2040,48992.2279999999,49799.5,40629,54695
2041,48899.101,49621.5,41095,54665
2042,48653.285,49367.5,40825,54328
2043,48452.845,49123,40404,53956
2044,48279.621,48997,40538,53820
2045,48039.769,48772.5,40313,53561
